Year,True,Missing,False
1369,8.43,0.0,91.57
1370,11.13,0.0,88.87
1371,13.28,0.0,86.72
1372,20.02,0.0,79.98
1373,26.51,0.0,73.49
1374,23.71,0.0,76.29
1375,25.86,0.0,74.14
1376,26.64,0.0,73.36
1377,27.76,0.0,72.24
1378,27.17,0.0,72.83
1379,29.0,0.0,71.0
1380,31.81,0.0,68.19
1381,34.92,0.0,65.08
1382,37.05,0.0,62.95
1383,41.46,58.54,0.0
1384,45.2,54.8,0.0
1385,0.0,0.0,100.0
1386,0.0,49.91,50.09
1387,0.0,47.43,52.57
1388,0.0,45.34,54.66
1389,0.0,40.91,59.09
1390,0.0,36.66,63.34
1391,66.07,33.93,0.0
1392,67.39,32.61,0.0
1393,67.32,32.68,0.0
1394,69.75,30.25,0.0
1395,71.92,28.08,0.0
1396,77.86,22.14,0.0
1397,79.77,20.23,0.0
1398,82.39,17.61,0.0
1399,84.41,15.59,0.0
1400,80.02,19.98,0.0
1401,87.49,12.51,0.0
