Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,18454,3.25,1.54,0,3.0,53
1370,18704,3.34,2.02,0,3.0,70
1371,18674,3.28,1.66,0,3.0,65
1372,12770,3.49,1.64,1,3.0,70
1373,19910,3.62,1.71,1,4.0,71
1374,36586,3.63,1.53,0,4.0,20
1375,21964,3.51,1.51,0,3.0,30
1376,21950,3.51,1.51,1,3.0,60
1377,17477,3.56,1.46,1,4.0,32
1378,27464,3.59,1.45,0,4.0,31
1379,26941,3.52,1.39,0,3.0,30
1380,26961,3.52,1.55,1,3.0,99
1381,32152,3.56,1.42,0,3.0,44
1382,23134,3.51,1.31,1,3.0,15
1383,24534,3.48,1.3,1,3.0,30
1384,26895,3.51,1.29,1,3.0,14
1385,30910,3.49,1.26,1,3.0,15
1386,31283,3.46,1.25,1,3.0,18
1387,39088,3.35,1.25,1,3.0,70
1388,36868,3.39,1.21,1,3.0,13
1389,38257,3.41,1.17,1,3.0,15
1390,38513,3.43,1.13,1,3.0,13
1391,38192,3.5,1.12,1,3.0,14
1392,38331,3.49,1.07,0,3.0,12
1393,39856,3.4,1.24,0,3.0,12
1394,38252,3.57,1.02,1,4.0,12
1395,39864,3.42,1.22,0,4.0,11
1396,37962,3.59,0.99,1,4.0,10
1397,38960,3.6,1.01,1,4.0,12
1398,38328,3.6,0.96,1,4.0,12
1399,37557,3.6,0.93,1,4.0,12
1400,40968,3.36,1.29,0,4.0,10
1401,37951,3.59,0.92,0,4.0,10
