Year,True,Missing,False
1369,72.19,0.0,27.81
1370,74.8,0.0,25.2
1371,76.55,0.0,23.45
1372,82.52,0.0,17.48
1373,84.76,0.0,15.24
1374,83.48,0.0,16.52
1375,84.89,0.0,15.11
1376,86.93,0.0,13.07
1377,86.25,0.0,13.75
1378,86.66,0.0,13.34
1379,87.9,0.0,12.1
1380,89.42,0.0,10.58
1381,90.61,0.0,9.39
1382,91.9,0.0,8.1
1383,92.99,7.01,0.0
1384,93.18,6.82,0.0
1385,94.29,0.0,5.71
1386,94.88,5.12,0.0
1387,95.58,4.42,0.0
1388,95.71,4.29,0.0
1389,94.77,5.23,0.0
1390,96.86,3.14,0.0
1391,97.04,2.96,0.0
1392,97.4,2.6,0.0
1393,94.23,5.77,0.0
1394,94.12,5.88,0.0
1395,93.68,6.32,0.0
1396,98.4,1.6,0.0
1397,98.58,1.42,0.0
1398,98.72,1.28,0.0
1399,98.55,1.45,0.0
1400,91.56,8.44,0.0
1401,98.12,1.88,0.0
1402,98.59,1.41,0.0
