Year,Missing,True,False
1377,0.0,1.04,98.96
1378,0.0,1.02,98.98
1379,0.0,1.48,98.52
1380,0.0,2.39,97.61
1381,0.0,3.53,96.47
1382,0.0,5.6,94.4
1383,91.56,8.44,0.0
1384,89.28,10.72,0.0
1385,0.0,13.05,86.95
1386,84.33,15.67,0.0
1387,82.73,17.27,0.0
1388,81.59,18.41,0.0
1389,79.2,20.8,0.0
1390,77.35,22.65,0.0
1391,76.61,23.39,0.0
1392,78.04,21.96,0.0
1393,77.74,22.26,0.0
1394,76.68,23.32,0.0
1395,77.51,22.49,0.0
1396,76.9,23.1,0.0
1397,79.14,20.86,0.0
1398,81.8,18.2,0.0
1399,83.29,16.71,0.0
1400,85.68,14.32,0.0
1401,86.89,13.11,0.0
