Year,Missing,True,False
1369,0.0,14.02,85.98
1370,0.0,14.9,85.1
1371,0.0,17.13,82.87
1372,0.0,20.92,79.08
1373,0.0,28.09,71.91
1374,0.0,30.5,69.5
1375,0.0,29.65,70.35
1376,0.0,32.79,67.21
1377,0.0,35.51,64.49
1378,0.0,39.62,60.38
1379,0.0,41.68,58.32
1380,0.0,46.49,53.51
1381,0.0,53.02,46.98
1382,0.0,58.67,41.33
1383,34.58,65.42,0.0
1384,28.04,71.96,0.0
1385,0.0,79.21,20.79
1386,18.26,81.65,0.09
1387,18.8,81.1,0.09
1388,19.84,80.16,0.0
1389,22.94,77.06,0.0
1390,23.46,76.54,0.0
1391,25.68,74.32,0.0
1392,32.18,67.82,0.0
1393,36.27,63.73,0.0
1394,38.15,61.85,0.0
1395,39.98,60.02,0.0
1396,39.98,60.02,0.0
1397,45.63,54.37,0.0
1398,47.67,52.33,0.0
1399,48.61,51.39,0.0
1400,53.46,46.54,0.0
1401,51.52,48.48,0.0
1402,53.52,46.48,0.0
