Year,True,Missing,False
1369,78.09,0.0,21.91
1370,80.88,0.0,19.12
1371,80.42,0.0,19.58
1372,82.15,0.0,17.85
1373,87.9,0.0,12.1
1374,86.77,0.0,13.23
1375,85.54,0.0,14.46
1376,88.48,0.0,11.52
1377,88.71,0.0,11.29
1378,90.09,0.0,9.91
1379,90.18,0.0,9.82
1380,91.83,0.0,8.17
1381,92.76,0.0,7.24
1382,92.41,0.0,7.59
1383,93.57,6.43,0.0
1384,94.16,5.84,0.0
1385,94.24,0.0,5.76
1386,94.75,5.12,0.13
1387,95.37,4.6,0.03
1388,96.08,3.92,0.0
1389,94.94,5.06,0.0
1390,96.73,3.27,0.0
1391,97.38,2.62,0.0
1392,96.64,3.36,0.0
1393,93.52,6.48,0.0
1394,93.97,6.03,0.0
1395,93.66,6.34,0.0
1396,97.83,2.17,0.0
1397,97.75,2.25,0.0
1398,98.13,1.87,0.0
1399,98.52,1.48,0.0
1400,91.48,8.52,0.0
1401,98.72,1.28,0.0
