Year,Missing,True,False
1369,0.0,71.86,28.14
1370,0.0,74.1,25.9
1371,0.0,75.6,24.4
1372,0.0,80.88,19.12
1373,0.0,84.68,15.32
1374,0.0,84.21,15.79
1375,0.0,84.12,15.88
1376,0.0,86.43,13.57
1377,0.0,87.26,12.74
1378,0.0,88.75,11.25
1379,0.0,90.32,9.68
1380,0.0,91.78,8.22
1381,0.0,93.6,6.4
1382,0.0,94.73,5.27
1383,4.71,95.29,0.0
1384,13.95,86.05,0.0
1385,0.0,85.29,14.71
1386,16.16,83.84,0.0
1387,19.22,80.78,0.0
1388,21.31,78.69,0.0
1389,26.36,73.64,0.0
1390,29.03,70.97,0.0
1391,31.92,68.08,0.0
1392,39.1,60.9,0.0
1393,43.68,56.32,0.0
1394,47.0,53.0,0.0
1395,48.56,51.44,0.0
1396,49.64,50.36,0.0
1397,54.17,45.83,0.0
1398,55.36,44.64,0.0
1399,57.75,42.25,0.0
1400,62.45,37.55,0.0
1401,59.21,40.79,0.0
1402,61.39,38.61,0.0
