Year,Missing,True,False
1369,0.0,56.29,43.71
1370,0.0,58.54,41.46
1371,0.0,59.23,40.77
1372,0.0,62.23,37.77
1373,0.0,66.69,33.31
1374,0.0,62.73,37.27
1375,0.0,63.6,36.4
1376,0.0,63.43,36.57
1377,0.0,61.07,38.93
1378,0.0,59.77,40.23
1379,0.0,59.58,40.42
1380,0.0,59.62,40.38
1381,0.0,59.77,40.23
1382,0.0,59.69,40.31
1383,41.12,58.88,0.0
1384,41.41,58.59,0.0
1385,0.0,57.52,42.48
1386,44.56,55.44,0.0
1387,48.61,51.39,0.0
1388,50.37,49.63,0.0
1389,53.37,46.63,0.0
1390,53.4,46.6,0.0
1391,53.47,46.53,0.0
1392,57.63,42.37,0.0
1393,60.19,39.81,0.0
1394,60.17,39.83,0.0
1395,61.54,38.46,0.0
1396,60.97,39.03,0.0
1397,62.04,37.96,0.0
1398,62.75,37.25,0.0
1399,64.68,35.32,0.0
1400,68.12,31.88,0.0
1401,65.7,34.3,0.0
1402,66.06,33.94,0.0
