Year,Brick_and_Iron_or_Stone_and_Iron,,Cement_Block,Brick_and_Wood_or_Stone_and_Wood,Adobe_and_Wood,Adobe_and_Clay,All_Brick_or_Stone_and_Brick,Other,All_Wood
1377,46.65,6.82,6.56,17.34,14.49,4.86,1.14,2.04,0.1
1378,48.44,4.7,6.82,16.68,13.9,5.52,1.06,2.8,0.09
1379,46.23,6.26,7.61,16.96,13.17,5.52,0.98,3.23,0.06
1380,47.72,6.78,6.88,17.85,11.62,5.06,0.51,3.45,0.13
1381,47.79,7.58,6.85,18.25,10.97,5.11,0.69,2.71,0.07
1382,49.38,8.45,7.11,18.32,9.49,3.63,1.07,2.48,0.08
1383,46.28,10.69,8.27,17.62,8.8,4.28,1.34,2.54,0.18
1384,45.56,12.32,8.08,16.97,9.13,4.59,1.15,1.82,0.37
1385,46.0,13.02,7.11,16.25,10.54,4.5,1.08,1.31,0.2
1386,47.38,13.86,7.0,15.02,9.69,4.35,1.03,1.52,0.14
1387,49.72,13.88,7.38,14.28,7.91,3.93,1.13,1.5,0.28
1388,50.44,12.85,8.04,13.48,8.65,4.05,0.78,1.42,0.28
1389,47.72,17.24,8.8,12.44,7.46,3.65,0.57,1.96,0.16
1390,49.1,16.71,9.34,10.92,7.14,3.62,1.28,1.73,0.16
1391,50.28,16.6,9.51,11.1,6.51,3.16,1.07,1.6,0.16
1392,47.13,21.37,9.41,10.31,5.43,2.97,0.99,2.22,0.18
1393,45.67,24.81,8.64,9.84,5.19,2.54,1.01,2.19,0.1
1394,47.02,24.9,8.59,9.21,4.8,2.48,1.17,1.78,0.06
1395,46.22,26.32,8.7,8.7,4.72,2.61,1.19,1.49,0.05
1396,48.89,24.12,9.09,8.5,4.61,2.48,1.02,1.24,0.05
1397,45.58,29.98,8.73,7.76,3.71,2.04,0.81,1.3,0.07
1398,45.29,30.84,8.63,7.64,3.29,2.07,0.93,1.1,0.2
1399,46.47,30.08,8.59,7.6,3.17,2.15,0.89,0.99,0.07
1400,43.29,35.91,8.12,6.67,2.49,1.82,0.83,0.81,0.06
1401,45.8,32.15,9.29,6.56,2.69,1.74,0.94,0.77,0.06
