Year,Other,Reinforced_Concrete,Metal,
1377,93.18,2.35,4.47,
1378,95.3,1.66,3.04,
1379,93.74,1.78,4.48,
1380,93.22,2.11,4.68,
1381,92.42,2.22,5.36,
1382,91.55,2.87,5.57,
1383,89.33,3.84,6.84,
1384,87.68,4.42,7.89,
1385,86.98,4.88,8.14,
1386,86.14,5.51,8.35,
1387,86.12,6.04,7.84,
1388,87.15,5.53,6.84,0.48
1389,82.73,7.04,8.52,1.71
1390,83.29,7.43,9.27,
1391,83.4,7.17,9.43,
1392,78.63,10.4,10.93,0.04
1393,75.19,10.8,10.05,3.97
1394,75.1,11.48,9.39,4.03
1395,73.68,12.28,9.73,4.31
1396,75.88,13.64,10.48,
1397,70.02,17.99,11.99,
1398,69.16,17.95,12.89,
1399,69.92,18.34,11.74,
1400,64.09,17.12,11.51,7.27
1401,67.85,18.8,13.34,0.01
