Year,Owned_Estate_Land,Rent,Free,Mortgage,Owned_Estate,Service,Other,
1369,79.96,6.89,7.73,,2.0,2.67,0.75,
1370,81.2,6.9,6.95,,1.66,2.64,0.66,0.01
1371,78.26,7.72,9.2,,1.76,2.22,0.85,
1372,78.38,8.72,8.49,,1.8,1.94,0.67,
1373,77.59,9.4,7.67,,1.9,2.32,1.13,
1374,80.11,8.26,7.18,,1.33,2.1,1.03,
1375,80.01,8.16,7.44,,1.23,1.93,1.22,
1376,77.65,9.14,8.37,,1.07,2.28,1.49,
1377,80.27,7.66,7.54,,0.71,2.19,1.64,
1378,80.88,8.17,7.2,,0.44,2.02,1.29,
1379,78.67,9.25,7.54,,0.48,2.39,1.67,
1380,78.85,9.56,7.13,,0.49,2.11,1.86,
1381,79.18,10.18,6.76,,0.27,1.78,1.84,
1382,78.76,9.51,7.47,,0.18,1.96,2.13,
1383,78.11,9.53,6.77,2.78,0.59,2.03,0.2,
1384,76.89,10.31,6.66,3.05,0.9,2.11,0.1,
1385,77.12,10.24,7.15,2.7,0.73,1.91,0.14,
1386,76.08,10.97,7.36,2.88,0.68,1.9,0.13,
1387,75.49,10.24,8.8,3.09,0.38,1.91,0.09,
1388,76.36,9.86,8.94,2.52,0.17,1.57,0.09,0.48
1389,75.39,9.7,8.06,2.98,0.48,1.66,0.03,1.71
1390,77.55,9.93,7.28,2.96,0.51,1.73,0.04,
1391,79.07,9.21,6.82,2.92,0.39,1.54,0.04,
1392,76.02,10.29,8.57,3.25,0.69,1.07,0.06,0.04
1393,74.33,9.09,8.29,3.04,0.34,0.93,0.02,3.97
1394,75.64,8.91,7.3,2.95,0.25,0.83,0.09,4.03
1395,75.31,8.79,7.07,3.26,0.26,0.88,0.12,4.31
1396,78.77,9.01,7.37,3.55,0.36,0.83,0.11,
1397,75.6,10.13,8.16,4.17,0.53,1.11,0.3,
1398,77.5,9.24,7.77,3.81,0.5,1.05,0.13,
1399,78.08,9.24,7.76,3.57,0.31,0.96,0.08,
1400,72.72,8.76,6.88,3.08,0.4,0.79,0.1,7.27
1401,78.89,9.38,6.64,3.24,0.85,0.84,0.16,0.01
1402,79.64,9.01,6.66,3.12,0.78,0.71,0.07,0.01
