Year,Missing,True,False
1375,0.0,5.96,94.04
1376,0.0,7.01,92.99
1377,0.0,8.09,91.91
1378,0.0,8.4,91.6
1379,0.0,11.38,88.62
1380,0.0,15.58,84.42
1381,0.0,26.1,73.9
1382,0.0,38.97,61.03
1383,49.33,50.67,0.0
1384,44.61,55.39,0.0
1385,0.0,56.93,43.07
1386,41.91,58.09,0.0
1387,44.54,55.46,0.0
1388,45.7,54.3,0.0
1389,46.7,53.3,0.0
1390,45.26,54.74,0.0
1391,47.42,52.58,0.0
1392,51.52,48.48,0.0
1393,59.58,40.42,0.0
1394,64.13,35.87,0.0
1395,70.05,29.95,0.0
1396,74.63,25.37,0.0
1397,79.31,20.69,0.0
1398,83.9,16.1,0.0
1399,87.58,12.42,0.0
1400,90.38,9.62,0.0
1401,91.78,8.22,0.0
1402,93.21,6.79,0.0
