Year,True,Missing,False
1369,11.7,0.0,88.3
1370,13.14,0.0,86.86
1371,15.21,0.0,84.79
1372,19.31,0.0,80.69
1373,27.45,0.0,72.55
1374,23.94,0.0,76.06
1375,25.99,0.0,74.01
1376,27.7,0.0,72.3
1377,29.06,0.0,70.94
1378,29.6,0.0,70.4
1379,32.3,0.0,67.7
1380,34.91,0.0,65.09
1381,39.94,0.0,60.06
1382,45.47,0.0,54.53
1383,50.37,49.63,0.0
1384,53.85,46.15,0.0
1385,55.75,0.0,44.25
1386,58.97,41.03,0.0
1387,61.66,38.34,0.0
1388,63.37,36.63,0.0
1389,65.54,34.46,0.0
1390,69.89,30.11,0.0
1391,71.5,28.5,0.0
1392,72.19,27.81,0.0
1393,70.92,29.08,0.0
1394,71.94,28.06,0.0
1395,72.42,27.58,0.0
1396,76.54,23.46,0.0
1397,77.86,22.14,0.0
1398,77.82,22.18,0.0
1399,78.34,21.66,0.0
1400,73.88,26.12,0.0
1401,80.09,19.91,0.0
