Year,True,Missing,False
1369,18.68,0.0,81.32
1370,20.46,0.0,79.54
1371,22.17,0.0,77.83
1372,27.38,0.0,72.62
1373,34.33,0.0,65.67
1374,29.87,0.0,70.13
1375,30.77,0.0,69.23
1376,30.97,0.0,69.03
1377,31.18,0.0,68.82
1378,30.46,0.0,69.54
1379,31.04,0.0,68.96
1380,31.79,0.0,68.21
1381,33.44,0.0,66.56
1382,36.59,0.0,63.41
1383,39.05,60.95,0.0
1384,40.78,59.22,0.0
1385,42.61,0.0,57.39
1386,45.37,54.63,0.0
1387,47.11,52.89,0.0
1388,48.98,51.02,0.0
1389,51.84,48.16,0.0
1390,56.77,43.23,0.0
1391,59.35,40.65,0.0
1392,61.61,38.39,0.0
1393,61.04,38.96,0.0
1394,62.32,37.68,0.0
1395,63.28,36.72,0.0
1396,67.86,32.14,0.0
1397,69.99,30.01,0.0
1398,70.12,29.88,0.0
1399,71.29,28.71,0.0
1400,67.26,32.74,0.0
1401,73.16,26.84,0.0
