Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1387,39305,1654813842.33,505321113.27,1000001001,2000182003.0,2297861005
1388,37045,1639342651.81,504916121.54,1000001001,1290081003.0,2290245005
1389,38950,1654627121.32,503446892.96,1000001171,2000077721.5,2290128464
1390,40010,1659694675.2,504350728.93,1000001172,2000086667.5,2300127066
1391,40007,1659655661.28,504349511.22,1000001177,2000086225.0,2300127069
1392,39864,16531486232.68,5039077782.97,10001000101,20003012858.5,23004664416
1393,39856,16532353965.35,5039211227.77,10001000108,20003012918.0,23004664423
1394,39857,16532029847.3,5039219453.35,10001000116,20003012919.0,23004664429
1395,39864,16531479026.28,5039074013.54,10001000120,20003012876.5,23004664434
1396,37962,16566611774.32,5038951864.43,10001000126,20004014735.5,23004664440
1397,38960,16274260387.19,5041373770.68,10001000102,12903360615.5,23006709817
1398,38328,16305423633.81,5042177263.73,10001000108,12905362718.5,23006709818
1399,37557,16369694374.58,5037277325.07,10001000113,12909366229.0,23006709829
1400,37988,16339075056.85,5036542306.35,10001000119,12907364723.0,23006709832
1401,37951,16347125075.94,5039620385.4,10001000126,12907365125.0,23006709841
1402,37883,16310215537.75,5037752950.56,10001000132,12905362647.0,23006709847
