Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1387,39305.0,6.51,3.44,1.0,7.0,12.0
1388,37045.0,6.49,3.44,1.0,6.0,12.0
1389,38950.0,6.5,3.44,1.0,6.0,12.0
1390,40010.0,6.53,3.45,1.0,7.0,12.0
1391,40007.0,6.48,3.44,1.0,6.0,12.0
1392,39852.0,6.52,3.44,1.0,7.0,12.0
1393,39856.0,6.53,3.45,1.0,7.0,12.0
1394,39857.0,6.52,3.44,1.0,7.0,12.0
1395,39864.0,6.53,3.45,1.0,7.0,12.0
1396,37962.0,6.53,3.45,1.0,7.0,12.0
1397,38960.0,6.52,3.45,1.0,7.0,12.0
1398,38328.0,6.56,3.4,1.0,7.0,12.0
1399,37557.0,6.57,3.45,1.0,7.0,12.0
