Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1366,1744,33427.5,414.2,33112,33190.0,34159
1367,2202,33508.74,452.91,33112,33214.0,34159
1368,3773,33558.62,469.51,33112,33225.0,34159
1369,6456,33594.06,482.17,33112,33236.0,34192
1370,7504,33674.19,492.93,33112,33393.0,34250
1371,7511,33627.24,489.95,33112,33247.0,34250
1372,4292,33620.47,490.14,33112,33247.0,34250
1373,6980,33532.11,471.3,33112,33225.0,34250
1374,14296,33529.99,469.75,33112,33236.0,34272
1378,10326,33574.8,482.44,33112,33236.0,34272
1379,9370,33580.89,488.19,33112,33236.0,34272
1380,9369,33593.47,487.02,33112,33247.0,34272
1381,12642,33535.01,472.07,33112,33225.0,34272
1382,9167,33515.98,464.98,33112,33225.0,34272
1383,11232,33537.21,472.84,33112,33236.0,34272
1384,11464,33524.56,468.28,33112,33225.0,34272
1385,11928,33502.04,461.86,33112,33214.0,34272
1386,11021,33452.9,443.34,33112,33214.0,34272
1387,12974,33584.3,507.97,33112,33236.0,34272
1388,23519,33903.84,503.23,33112,34272.0,34272
1389,19714,33821.38,522.52,33112,34239.0,34272
1390,12859,33699.52,525.61,33112,33270.0,34272
1391,10470,33605.47,509.82,33112,33258.0,34272
1392,8371,33580.75,503.7,33112,33236.0,34272
1393,7882,33645.76,516.91,33112,33258.0,34272
1394,6700,33660.26,515.34,33112,33258.0,34272
1395,6545,33646.36,510.95,33112,33258.0,34272
1396,7666,33643.52,514.93,33112,33258.0,34283
1397,8390,33587.83,508.9,33112,33236.0,34283
1398,7339,33644.57,518.48,33112,33258.0,34283
1399,6960,33747.1,526.85,33112,34148.0,34283
1400,6543,33763.83,523.73,33112,34160.0,34283
1401,5775,33773.11,522.17,33112,34159.0,34283
1402,3209,33455.39,433.36,33112,33214.0,34283
