Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1366,1744.0,473088.5,1172102.0,300.0,109300.0,20000000.0
1367,2157.0,715591.94,2118156.0,200.0,120000.0,35000000.0
1368,3580.0,743201.81,2564094.25,260.0,100000.0,90000000.0
1369,6108.0,743687.14,2724609.29,500.0,130000.0,99999999.0
1370,6941.0,913439.06,3693190.0,300.0,125000.0,180000000.0
1371,7511.0,1052765.62,4549140.5,0.0,150000.0,200000000.0
1372,4146.0,1205184.25,4141041.25,500.0,200000.0,100000000.0
1373,6725.0,2130932.5,8753079.0,450.0,312000.0,300000000.0
1374,13677.0,2805665.75,7425107.5,500.0,500000.0,92000000.0
1378,9745.0,5223283.0,17032818.0,1750.0,1000000.0,530000000.0
1379,8817.0,6883970.0,21923158.0,1500.0,1070000.0,530000000.0
1380,8761.0,8574638.37,32443586.33,1000.0,1050000.0,840000000.0
1381,11918.0,10333795.78,41353836.9,2000.0,1300000.0,2200000000.0
1382,8721.0,10556112.0,37522580.0,1.0,1500000.0,1200000000.0
1383,11232.0,12390626.27,47922976.03,0.0,1500000.0,1500000000.0
1384,10972.0,14711705.0,58510072.0,0.0,1800000.0,3400000000.0
1385,11514.0,17384915.35,63877472.84,0.0,2000000.0,3000000000.0
1386,10603.0,30239411.96,109797931.49,0.0,3000000.0,6000000000.0
1387,12553.0,31960847.13,121076690.4,0.0,6400000.0,7500000000.0
1388,23241.0,23194361.02,56553571.01,0.0,15000000.0,2927800000.0
1389,19467.0,28749257.65,81736903.8,0.0,15000000.0,4200000000.0
1390,12642.0,35150695.14,108323931.91,0.0,10000000.0,3500000000.0
1391,10270.0,47818847.68,145820486.44,0.0,10000000.0,4000000000.0
1392,8243.0,63225483.44,197895271.39,0.0,14800000.0,4000000000.0
1393,7702.0,61922233.77,231972118.83,0.0,15000000.0,8000000000.0
1394,6528.0,55204069.24,199261064.32,0.0,15000000.0,6000000000.0
1395,6366.0,58501570.22,212941988.0,0.0,15000000.0,7000000000.0
1396,7460.0,69033996.25,255344417.11,0.0,15000000.0,5300000000.0
1397,8159.0,130309045.1,432702270.84,0.0,20000000.0,8700000000.0
1398,7125.0,178187331.75,555074216.26,0.0,20000000.0,7800000000.0
1399,6630.0,284947374.51,1238730298.44,0.0,20000000.0,22000000000.0
1400,6180.0,287871287.22,1307704124.22,100000.0,21300000.0,40000000000.0
1401,5561.0,354124887.61,1964238604.93,0.0,20000000.0,77500000000.0
1402,3034.0,788938585.37,2650134383.56,0.0,140000000.0,50000000000.0
