Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1366,1744,470860.66,501537.7,1011,124004.5,1234200
1367,2202,511357.93,513732.84,1022,134024.5,1234271
1368,3773,470468.88,498290.6,1001,132097.0,1234260
1369,6456,456221.75,493719.51,1017,132063.0,1234219
1370,7504,434576.66,490087.11,1007,122004.0,1234217
1371,7511,477933.66,497158.79,1017,144002.0,1234214
1372,4292,497830.06,503872.79,1003,133090.0,1234215
1373,6980,601375.44,522843.7,1001,243004.5,1244037
1374,14296,5950363.8,5140345.68,10002,2420058.5,12440080
1378,10326,49954801.26,49812490.62,11008,21072136.0,127074069
1379,9370,50173554.87,49393380.22,11005,22037542.5,127074070
1380,9369,51550482.79,50054506.22,11005,22051077.0,127074068
1381,12642,54072636.49,50159342.94,11003,24021058.5,127073174
1382,9167,51335868.15,49914633.27,11001,23033008.0,127113112
1383,11232,47569530.94,48750379.95,11004,22043036.5,127114129
1384,11464,49055680.67,48674571.24,11003,24011019.5,129212068
1385,11928,45445031.26,48493940.77,11002,22024007.5,129212101
1386,11021,51677457.37,49424123.85,11002,24014017.0,129212112
1387,12974,1793603911.68,489348907.65,1000001001,2051455502.5,2297861004
1388,23519,1794443341.47,483366228.84,1000002002,2050164004.0,2290245005
1389,19714,1777871792.98,480325354.18,1000001172,2050004603.5,2290126219
1390,12859,1767144863.92,477969164.53,1000001172,2030097064.0,2300126263
1391,10470,1770112181.65,479668670.05,1000001188,2040100609.0,2300113019
1392,8371,17440481445.78,4856619766.13,10001000116,20325086413.0,23004664412
1393,7882,17542812239.37,4813190426.78,10001000216,20402099023.0,23004664416
1394,6700,17500104511.37,4812081921.32,10001001516,20314081819.0,23004663816
1395,6545,17816923308.66,4703653037.14,10001002020,20509125832.0,23004664423
1396,7666,17604802742.82,4810842590.74,10001001736,20509125932.0,23004664232
1397,8390,17078038085.37,4929621203.48,10001000114,20326427812.5,23006708917
1398,7339,17200716870.44,4880395864.71,10002002913,20507445308.0,23006709223
1399,6960,17206151142.53,4871862302.18,10001000214,20510448121.5,23006709626
1400,6543,17287465153.59,4902921039.34,10001000329,20601451321.0,23006709727
1401,5775,17320821568.5,4896430566.24,10001000230,20702463938.0,23006709641
