Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1367,108.0,2440694.25,2743939.5,10000.0,1600000.0,15000000.0
1368,339.0,2465311.0,5242727.0,1200.0,500000.0,50000000.0
1369,636.0,1914744.12,5014432.5,5000.0,350000.0,77000000.0
1370,861.0,3170835.0,15877416.0,6000.0,400000.0,350000000.0
1371,7511.0,293271.59,3486601.25,0.0,0.0,185000000.0
1372,247.0,3694564.5,5677158.5,2000.0,1000000.0,40000000.0
1373,430.0,8917549.0,17431370.0,10000.0,3000000.0,220000000.0
1374,1231.0,10278252.0,15057895.0,3000.0,4000000.0,90000000.0
1378,877.0,16318811.0,39848040.0,10000.0,3700000.0,480000000.0
1379,833.0,18029628.0,36775028.0,10000.0,4300000.0,440000000.0
1380,867.0,32525022.0,76817832.0,10000.0,5200000.0,900000000.0
1381,1107.0,37923094.85,79556452.46,6000.0,10000000.0,924000000.0
1382,762.0,40320836.0,74196208.0,8000.0,15000000.0,900000000.0
1383,11232.0,3776794.87,32523049.23,0.0,0.0,2000000000.0
1384,1757.0,26268172.0,92656240.0,0.0,0.0,1500000000.0
1385,1123.0,38212404.0,100392528.0,0.0,3000000.0,1150000000.0
1386,1256.0,80445732.48,318367865.4,0.0,5000000.0,8500000000.0
1387,1188.0,85571632.0,231679504.0,0.0,3450000.0,2700000000.0
1388,2342.0,19208791.63,94162174.98,0.0,0.0,1900000000.0
1389,886.0,34103048.0,231941504.0,0.0,0.0,6000000000.0
1390,700.0,101094416.0,297130656.0,0.0,125000.0,3000000000.0
1391,767.0,132105525.42,400170584.71,0.0,2500000.0,6500000000.0
1392,428.0,208963679.91,429086593.63,0.0,15000000.0,3150000000.0
1393,421.0,230314845.61,460318801.82,0.0,32000000.0,4300000000.0
1394,303.0,247298102.31,467184749.89,0.0,80000000.0,5000000000.0
1395,312.0,243511057.69,520242046.17,0.0,50000000.0,3700000000.0
1396,397.0,366574987.41,823370933.14,0.0,80000000.0,7600000000.0
1397,403.0,519589950.37,796995352.7,0.0,190000000.0,6000000000.0
1398,405.0,605323333.33,993230914.62,0.0,200000000.0,9500000000.0
1399,451.0,533943303.77,1215542439.9,0.0,70000000.0,10000000000.0
1400,512.0,773392773.44,2815093501.83,500000.0,72500000.0,50000000000.0
1401,355.0,1655891549.3,5438711527.11,2000000.0,200000000.0,82000000000.0
1402,289.0,2364399653.98,5786532109.37,2000000.0,300000000.0,45000000000.0
