Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,55723,51397.46,323.09,51114,51318.0,52139
1364,56403,51394.52,323.39,51114,51318.0,59998
1365,9622,51410.73,330.57,51114,51318.0,52128
1366,11429,51401.01,320.1,51114,51318.0,52139
1367,15899,51395.31,326.83,51114,51318.0,52139
1368,25651,51406.95,336.87,51114,51318.0,52139
1369,37913,51385.33,316.74,51114,51318.0,52172
1370,37096,51375.16,319.64,51114,51318.0,52140
1371,36535,51386.12,328.1,51114,51318.0,52139
1372,24384,51394.43,339.39,51114,51318.0,52139
1373,40926,51416.58,355.12,51114,51318.0,52172
1374,78103,51431.93,360.53,51114,51329.0,52139
1375,45560,51422.15,353.49,51114,51329.0,52140
1376,46928,51438.33,363.08,51114,51329.0,52140
1377,36749,51433.0,359.45,51114,51329.0,52140
1378,61686,51478.68,392.97,51114,51318.0,52162
1379,60174,51474.13,391.87,51114,51318.0,52162
1380,60967,51467.09,390.35,51114,51318.0,52162
1381,86185,51468.24,389.61,51114,51329.0,52173
1382,64678,51473.79,391.27,51114,51329.0,52173
1383,55706,61848.28,686.63,61111,62111.0,63445
1384,59858,61856.27,678.98,61111,62111.0,64111
1385,65024,61868.53,682.5,61111,62111.0,64111
1386,62517,61834.44,642.98,61111,62111.0,64111
1387,76921,61854.93,668.76,61111,62111.0,64111
1388,75327,61846.13,649.96,61111,62111.0,64111
1389,76201,61837.27,655.28,61111,62111.0,64111
1390,71223,61782.71,620.31,61111,62111.0,64111
1391,71346,61786.44,632.6,61111,62111.0,64111
1392,69561,61774.56,620.92,61111,62111.0,64111
1393,68217,61772.2,631.81,61111,62111.0,64111
1394,69161,61785.12,655.12,61111,62111.0,64111
1395,62074,61656.33,537.69,61116,61336.0,64114
1396,66883,61672.37,538.87,61116,62119.0,64114
1397,67540,61675.35,538.35,61116,62119.0,64113
1398,65033,61651.73,537.43,61116,61312.0,64114
1399,62951,61534.62,511.21,61116,61221.0,64114
1400,63546,61575.57,524.27,61116,61221.0,64113
1401,59386,61608.59,536.68,61116,61123.0,64114
