Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,55723.0,1599.37,11171.89,5.0,500.0,1100000.0
1364,56403.0,1609.19,9472.09,3.0,500.0,700000.0
1365,9622.0,1931.04,8785.96,20.0,750.0,400000.0
1366,11429.0,2071.4,15097.01,10.0,630.0,800000.0
1367,15899.0,2381.0,18274.45,10.0,600.0,1000000.0
1368,25633.0,2272.35,19581.4,1.0,600.0,1650000.0
1369,37908.0,2807.73,16171.81,1.0,950.0,1100000.0
1370,37095.0,4126.45,32910.95,8.0,1100.0,2000000.0
1371,36535.0,5853.43,58710.15,15.0,1500.0,7500000.0
1372,24384.0,6845.85,43061.95,30.0,2000.0,3540000.0
1373,40926.0,11145.93,82035.7,30.0,3000.0,10000000.0
1374,77856.0,14357.44,100702.64,4.0,4000.0,11100000.0
1375,45559.0,18234.76,122543.59,3.0,5000.0,8500000.0
1376,46928.0,21990.88,180625.34,1.0,6000.0,22000000.0
1377,36749.0,27183.2,142219.12,78.0,7600.0,8000000.0
1378,61686.0,36192.59,257436.39,44.0,11000.0,30000000.0
1379,60174.0,43744.09,300656.12,10.0,15000.0,30000000.0
1380,60967.0,52001.92,542801.69,100.0,17300.0,113000000.0
1381,86185.0,56612.34,349157.88,150.0,20000.0,35000000.0
1382,64678.0,61827.17,344031.94,150.0,22000.0,45000000.0
1383,55706.0,84835.13,643498.25,200.0,25000.0,69137000.0
1384,59658.0,99151.52,640919.56,200.0,30000.0,65000000.0
1385,65024.0,116746.99,709052.44,0.0,35000.0,70000000.0
1386,62516.0,147163.8,1308201.23,300.0,40000.0,140000000.0
1387,76921.0,185819.66,1310185.5,500.0,50000.0,150000000.0
1388,75327.0,208974.06,2064338.0,500.0,60000.0,474000000.0
1389,76201.0,262926.66,1571207.38,500.0,80000.0,120000000.0
1390,71223.0,228812.47,795416.69,750.0,100000.0,80000000.0
1391,71346.0,271781.97,1149046.88,1000.0,120000.0,170000000.0
1392,69436.0,364895.16,1383128.75,1000.0,150000.0,150000000.0
1393,68217.0,422367.09,1518258.0,1500.0,180000.0,141700000.0
1394,69161.0,466857.09,1901203.25,1000.0,200000.0,300000000.0
1395,62072.0,516956.66,1677705.62,2000.0,200000.0,120000000.0
1396,66883.0,573390.44,1840286.25,1000.0,245000.0,165600000.0
1397,67540.0,749889.81,3287796.0,1000.0,300000.0,400000000.0
1398,65033.0,867853.88,3549027.5,2000.0,350000.0,500000000.0
1399,62951.0,1038445.12,4175408.25,5000.0,400000.0,500000000.0
1400,63546.0,1644059.78,6431914.89,5000.0,600000.0,800000000.0
1401,59386.0,2520886.32,8256629.01,5000.0,1000000.0,500000000.0
1402,58985.0,3588714.75,13096634.0,10000.0,1390000.0,1100000000.0
