Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,55723,740470.17,497369.31,1001,1042150.0,1234515
1364,56403,698407.93,504306.92,1001,1032100.0,1234425
1365,9622,683182.28,527305.82,1003,1032017.0,1234215
1366,11429,658358.38,523358.69,1002,1024006.0,1234210
1367,15899,656183.61,519147.72,1004,1024009.0,1234275
1368,25651,669459.0,509815.18,1001,1022015.0,1234275
1369,37913,654015.96,509643.93,1001,1014111.0,1234219
1370,37096,652451.11,507619.25,1001,1014032.5,1234220
1371,36535,659350.56,505846.4,1002,1021003.0,1234220
1372,24384,697908.08,500635.87,1001,1022077.0,1234224
1373,40926,798106.19,490611.02,1002,1071015.5,1244040
1374,78103,7533438.93,4988502.46,10004,10620171.0,12440080
1375,45560,681628.67,518074.21,1002,1032078.0,1244035
1376,46928,681052.51,517826.77,1002,1032025.0,1254055
1377,36749,67247300.29,51618541.82,11001,103031047.0,127074099
1378,61686,67364061.2,51490905.66,11001,102063048.0,127074070
1379,60174,64601004.17,51483248.74,11002,100061063.0,127074070
1380,60967,64540781.79,51619618.87,11004,100061055.0,127074070
1381,86185,66833891.7,51371292.66,11001,101081106.0,127074180
1382,64678,67715759.37,51398374.89,11001,102074038.0,127114115
1383,55706,62638794.5,51450711.62,11001,27034016.0,127114129
1384,59858,62775396.52,51201066.38,11001,27114131.0,129214070
1385,65024,59126360.28,51444088.18,11003,26032058.0,129214099
1386,62517,62146527.47,50723386.66,11001,28254119.0,129214114
1387,76921,1638357938.63,505501262.18,1000001001,1297629002.0,2297861004
1388,75327,1615981199.9,503685966.86,1000001001,1280082005.0,2290245004
1389,76201,1628070897.43,503803798.26,1000001171,1290061108.0,2290128451
1390,71223,1645905344.5,504375899.16,1000001184,2000062118.0,2300127066
1391,71346,1647727830.38,504605910.76,1000001177,2000059256.0,2300127069
1392,69561,16364327560.98,5060785423.19,10001000101,13001649012.0,23004664416
1393,68217,16434733850.73,5046802315.37,10001000108,13001652212.0,23004664408
1394,69161,16510623438.26,5058901219.95,10001000116,20003013325.0,23004664429
1395,62074,16461955766.78,5037797556.3,10001000120,13001653335.0,23004664429
1396,66883,16435035068.62,5036737242.0,10001000126,13001652441.0,23004664440
1397,67540,16262459943.92,5024764279.81,10001000102,12901357209.5,23006709817
1398,65033,16207384943.38,5025577994.5,10001000120,12804351811.0,23006709818
1399,62951,16076559048.25,5012787032.9,10001000113,12713343816.0,23006709729
1400,63546,16074519502.12,5005983809.48,10001000119,12712343021.5,23006709823
1401,59386,16264670996.81,5025420458.41,10001000126,12901358927.5,23006709841
