Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,144063,23.03,19.96,0,17.0,99
1364,145536,22.17,19.5,0,16.0,99
1365,30546,22.47,19.71,0,16.0,99
1366,31331,21.94,19.38,0,16.0,99
1367,45728,22.06,19.44,0,16.0,99
1368,63783,22.6,19.59,0,16.0,99
1369,101569,22.8,19.67,0,16.0,99
1370,102828,23.16,19.79,0,16.0,99
1371,100094,22.96,19.45,0,16.0,99
1372,66245,23.87,19.67,0,17.0,99
1373,104370,23.98,19.18,0,18.0,99
1374,193671,24.25,19.43,0,17.0,99
1375,113827,24.4,19.11,0,18.0,99
1376,111735,24.72,19.08,0,18.0,99
1377,89035,25.25,19.15,0,19.0,99
1378,139841,25.68,19.26,0,19.0,99
1379,132708,25.95,19.12,0,20.0,99
1380,130965,26.56,19.19,0,21.0,99
1381,153114,27.15,19.28,0,21.0,99
1382,108120,26.85,18.88,0,22.0,99
1383,111327,27.6,18.76,1,23.0,99
1384,119062,28.28,18.99,1,23.0,99
1385,135270,28.56,19.31,0,24.0,99
1386,133472,28.88,19.48,0,24.0,99
1387,161250,29.14,19.41,0,25.0,99
1388,150469,29.74,19.71,0,25.0,99
1389,152291,30.52,19.94,0,27.0,99
1390,150476,31.26,20.12,0,27.0,99
1391,146063,32.11,20.38,0,29.0,99
1392,140359,30.83,20.18,0,28.0,99
1393,139033,31.66,20.53,0,29.0,99
1394,137616,32.29,20.75,0,30.0,99
1395,135552,32.89,20.97,0,31.0,99
1396,134389,33.23,21.12,0,31.0,99
1397,135830,32.57,21.08,0,31.0,99
1398,132541,33.42,21.33,0,32.0,99
1399,128955,33.72,21.25,0,33.0,99
1400,128914,34.17,21.24,0,33.0,99
1401,126478,34.77,21.38,0,34.0,99
