Year,,106,234,346,512,105,104,511,103,354,102,107,101,233,522,341,231,232,342,343,364,521,344,345,514,901,513,353,352,002,   ,362,363,---,108,517,510,602,905,520,516,515,310,109,601,605,001,604,606,603,907,05,04,02,01,03,11,06,13,12,34,26,X1,33,31,23,32,47,53,46,65,25,45,X2,22,44,21,24,61,95,89,62,73,96,63,97,64,51,74,52,93,41,81,82,42,83,71,84,91,85,86,43,88,00,92,72,15.0,14.0,12.0,11.0,13.0,16.0,23.0,34.0,21.0,22.0,91.0,37.0,31.0,33.0,32.0,17.0,26.0,18.0,64.0,52.0,36.0,19.0,25.0,72.0,62.0,41.0,61.0,24.0,63.0,42.0,73.0,35.0,87.0,43.0,51.0,40.0,70.0,88.0,50.0,82.0,93.0,49.0,81.0,47.0,89.0,45.0,60.0,10.0,71.0,83.0,84.0,92.0,30.0,85.0,38.0,80.0,20.0,1.0,28.0,86.0,29.0,46.0,39.0,94.0,2.0,3.0,4.0,6.0,5.0,48.0,44.0,76.0,75.0,78.0,77.0,27.0,16,15,14,48,39,49,35, ,38,76,10,75,40,30,78,77,214,313,213,212,211,312,317,311,322,324,314,319,321,315,316,323,326,216,328,325,318,215,210,327,301,302,906,222,100,221,303,902,300,908,220,904,903,32A,217,-,31D,31C,31b,--,112
1363,54.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,4.47,4.47,4.0,3.65,2.83,2.79,2.56,2.5,2.46,1.53,1.41,0.98,0.95,0.79,0.77,0.42,0.4,0.36,0.3,0.23,0.21,0.15,0.14,0.12,0.1,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,55.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,4.4,4.53,4.36,3.6,2.88,2.35,2.58,2.26,2.23,1.39,1.3,0.86,0.88,0.68,0.74,0.34,0.41,0.37,0.29,0.22,0.23,0.02,0.13,0.11,0.06,0.05,0.05,0.05,0.03,0.04,0.03,0.03,0.02,0.01,0.03,0.03,0.03,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,54.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95,4.54,4.57,4.62,3.61,2.73,2.51,2.56,2.31,2.4,1.46,1.65,0.89,0.87,0.72,0.68,0.26,0.4,0.25,0.39,0.21,0.16,0.07,0.11,0.06,0.08,0.04,0.08,0.04,0.02,0.09,0.06,0.03,0.06,0.01,0.04,0.02,0.05,0.01,0.03,,0.01,0.01,0.01,0.0,0.01,0.01,,0.01,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,53.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,4.77,4.18,4.1,3.78,3.67,2.78,2.74,2.69,2.51,1.37,1.31,1.16,1.1,0.84,0.7,0.67,0.55,0.4,0.34,0.16,0.12,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,4.53,4.36,4.03,3.96,3.55,3.16,2.79,2.96,2.44,1.54,1.31,1.06,1.09,0.84,1.13,0.7,0.56,0.43,0.49,0.15,0.12,0.1,0.06,0.07,0.12,0.11,0.03,0.07,0.07,0.01,0.05,0.02,0.02,0.02,0.01,0.0,0.01,,0.0,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.0,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,50.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,4.97,4.3,4.07,4.14,5.32,3.26,2.83,3.21,2.71,1.56,1.12,1.22,1.04,0.97,1.22,0.53,0.62,0.37,0.46,0.15,0.07,0.08,0.04,0.09,0.02,0.07,0.04,0.05,0.03,0.01,0.03,0.02,0.02,0.02,0.0,0.0,0.01,0.0,0.01,,0.01,0.01,0.0,0.0,0.0,0.02,,0.0,0.01,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,45.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,5.13,4.53,4.23,4.3,6.09,3.75,3.12,3.47,2.95,1.63,1.03,1.41,1.22,0.98,1.73,0.41,2.21,0.39,0.51,0.15,0.05,0.08,0.03,0.06,0.01,0.08,0.04,0.05,0.02,0.01,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.11,0.0,0.0,0.0,0.0,,0.0,0.0,,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,43.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,5.3,4.64,4.36,4.33,5.95,4.04,3.44,3.96,3.08,1.41,0.88,1.5,1.23,1.11,1.09,0.43,3.2,0.41,0.53,0.09,0.18,0.08,0.04,0.1,0.01,0.08,0.04,0.06,0.02,0.01,0.03,0.02,0.01,0.02,0.0,0.0,0.01,0.02,0.01,0.01,0.02,0.0,0.01,0.01,0.02,0.11,0.02,0.0,0.0,0.0,0.01,,0.01,,0.01,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,5.28,4.51,3.96,4.35,6.6,4.09,3.85,3.9,3.34,1.3,0.8,1.56,1.4,1.16,0.89,0.41,3.18,0.51,0.68,0.11,0.17,0.06,0.04,0.11,0.01,0.11,0.04,0.06,0.02,0.01,0.02,0.03,0.02,0.03,0.0,0.0,0.01,0.02,0.0,0.01,0.01,0.01,0.0,0.0,0.02,0.07,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
