Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,144063,618821.86,511334.02,1001,1003107.0,1234515
1364,145536,591641.97,509222.94,1001,232110.0,1234425
1365,30546,553150.56,522907.04,1001,184004.0,1234215
1366,31331,553152.63,519408.89,1001,193028.0,1234210
1367,45728,558176.69,518132.53,1001,194016.0,1234275
1368,63783,537682.75,513157.34,1001,162010.0,1234275
1369,101571,559527.72,508893.29,1001,194051.0,1234220
1370,102828,556809.0,508194.81,1001,193094.0,1234220
1371,100096,559495.39,507585.05,1001,194035.0,1234220
1372,66245,598827.7,511359.12,1001,1001005.0,1234225
1373,104370,694413.79,514748.73,1001,1033163.0,1244040
1374,193671,6515317.59,5122113.19,10001,10210017.0,12440080
1375,113827,577455.78,518177.66,1001,232231.0,1244035
1376,111735,581111.16,518985.76,1001,233071.0,1254055
1377,89035,55855846.66,51415612.99,11001,23084085.0,127074100
1378,139841,57061633.57,51058144.43,11001,23094129.0,127074070
1379,132708,55517493.38,50761599.57,11001,23063085.0,127074070
1380,130965,55757563.14,50805295.23,11001,23092111.0,127074070
1381,153114,57458811.69,50894968.35,11001,24051132.5,127074180
1382,108120,58529607.47,51058421.79,11001,25011071.0,127114115
1383,112774,58282647.47,50925437.21,11001,24091114.0,127114130
1384,120639,59568149.1,50935422.35,11001,26033072.0,129214070
1385,135270,57339153.72,50999480.73,11001,25014053.0,129214100
1386,133476,60140467.54,50646229.63,11001,27072605.5,129214115
1387,161250,1669998116.44,503916491.24,1000001001,2010458003.0,2297861005
1388,150470,1649704573.87,503482185.59,1000001001,2000184005.0,2290245005
1389,152291,1667771169.25,502292813.26,1000001171,2010055010.0,2290128464
1390,150540,1672664995.45,502985799.16,1000001172,2010059068.0,2300127066
1391,146063,1671205501.38,503267259.95,1000001177,2010046206.0,2300127069
1392,140359,16629505971.62,5027549396.88,10001000101,20011021316.0,23004664416
1393,139033,16628206512.41,5032069840.68,10001000108,20011021114.0,23004664416
1394,137616,16607254796.18,5035364138.25,10001000116,20007018929.0,23004664429
1395,135552,16613186465.28,5031581205.95,10001000120,20010019834.0,23004664434
1396,134389,16618126245.02,5034174845.7,10001000126,20009019329.0,23004664440
1397,135830,16315490381.66,5037277092.65,10001000102,12904362006.5,23006709817
1398,132541,16351714921.6,5036608108.95,10001000108,12907364815.0,23006709818
1399,128955,16417543144.41,5029109443.94,10001000113,13001369723.0,23006709829
1400,128914,16388163095.74,5024752939.74,10001000119,12911367421.5,23006709832
1401,126478,16384914693.21,5030474886.01,10001000126,12911367439.5,23006709841
1402,123857,16343558075.02,5027038068.02,10001000132,12906363737.0,23006709847
