Year,True,False,Missing
1369,54.34,45.66,0.0
1370,56.86,43.14,0.0
1371,57.6,42.4,0.0
1372,61.57,38.43,0.0
1373,64.67,35.33,0.0
1374,64.55,35.45,0.0
1375,65.98,34.02,0.0
1376,66.85,33.15,0.0
1377,67.68,32.32,0.0
1378,68.55,31.45,0.0
1379,69.13,30.87,0.0
1380,69.82,30.18,0.0
1381,70.72,29.28,0.0
1382,71.45,28.55,0.0
1383,71.91,19.34,8.75
1384,72.44,27.56,0.0
1385,72.24,19.42,8.34
1386,72.22,18.94,8.83
1387,72.7,18.37,8.93
1388,72.14,18.82,9.04
1389,72.39,18.79,8.82
1390,72.91,18.75,8.34
1391,73.41,18.83,7.77
1392,73.12,16.83,10.05
1393,73.6,16.86,9.54
1394,74.03,16.85,9.12
1395,74.14,16.99,8.87
1396,74.55,16.68,8.77
1397,75.01,15.03,9.95
1398,75.51,15.18,9.31
1399,76.96,14.32,8.72
1400,78.26,13.89,7.85
1401,78.93,13.96,7.11
1402,79.62,13.96,6.41
