Year,False,True,Missing
1369,26.12,29.17,44.71
1370,69.48,30.52,0.0
1371,70.31,29.69,0.0
1372,68.74,31.26,0.0
1373,67.12,32.88,0.0
1374,66.38,33.62,0.0
1375,67.66,32.34,0.0
1376,68.4,31.6,0.0
1377,68.46,31.54,0.0
1378,68.31,31.69,0.0
1379,69.13,30.87,0.0
1380,70.18,29.82,0.0
1381,70.91,29.09,0.0
1382,72.19,27.81,0.0
1383,49.01,26.85,24.14
1384,73.41,26.59,0.0
1385,51.15,25.55,23.3
1386,47.37,24.85,27.78
1387,48.09,24.61,27.3
1388,48.21,23.93,27.86
1389,48.58,23.82,27.61
1390,49.38,23.58,27.04
1391,50.13,23.28,26.59
1392,50.73,22.39,26.88
1393,51.17,22.42,26.4
1394,51.83,22.2,25.97
1395,52.4,21.74,25.86
1396,53.02,21.53,25.45
1397,53.82,21.2,24.98
1398,54.3,21.2,24.49
1399,55.1,21.86,23.04
1400,55.79,22.47,21.74
1401,56.07,22.86,21.07
