Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,144063,3.77,2.43,0,3.0,80
1364,145536,3.75,2.38,1,3.0,52
1365,30546,3.8,2.43,1,3.0,25
1366,31331,3.84,2.48,1,3.0,33
1367,45728,3.86,2.46,0,3.0,23
1368,63783,3.9,2.51,0,3.0,32
1369,101571,3.89,2.5,1,3.0,56
1370,102828,3.89,2.48,1,3.0,25
1371,100096,3.81,2.45,0,3.0,28
1372,66245,3.69,2.33,1,3.0,21
1373,104370,3.71,2.38,1,3.0,34
1374,193671,3.76,2.42,1,3.0,33
1375,113827,3.68,2.37,1,3.0,30
1376,111735,3.62,2.34,1,3.0,40
1377,89035,3.61,2.32,1,3.0,26
1378,139841,3.61,2.31,1,3.0,29
1379,132708,3.51,2.22,1,3.0,22
1380,130965,3.47,2.21,1,3.0,25
1381,153114,3.42,2.16,1,3.0,22
1382,108120,3.34,2.1,1,3.0,24
1383,112774,3.3,2.1,1,3.0,21
1384,120639,3.23,2.05,1,3.0,24
1385,135270,3.16,1.99,1,3.0,24
1386,133476,3.08,1.94,1,3.0,24
1387,161250,2.99,1.85,1,3.0,28
1388,150470,2.96,1.84,1,3.0,26
1389,152291,2.89,1.75,1,3.0,19
1390,150540,2.84,1.7,1,3.0,18
1391,146063,2.79,1.67,1,2.0,20
1392,140359,2.67,1.57,1,2.0,19
1393,139033,2.65,1.54,1,2.0,16
1394,137616,2.63,1.53,1,2.0,17
1395,135552,2.61,1.51,1,2.0,20
1396,134389,2.59,1.49,1,2.0,16
1397,135829,2.56,1.47,1,2.0,17
1398,132541,2.54,1.45,1,2.0,18
1399,128955,2.52,1.43,1,2.0,18
1400,128914,2.5,1.41,1,2.0,16
1401,126478,2.48,1.39,1,2.0,16
1402,123857,2.46,1.39,1,2.0,16
