Year,Child,Head,Spouse,Grand_Child,Parent,Child_in_Law,Sibling,Other_Family,Non_Family,
1363,56.67,18.84,16.43,1.79,2.09,1.22,1.56,1.28,0.12,
1364,57.0,18.94,16.77,1.75,1.85,1.15,1.4,1.04,0.1,
1365,56.45,18.62,16.5,2.47,1.91,1.47,1.46,1.04,0.08,
1366,57.66,18.4,16.28,,,7.65,,,,
1367,58.11,18.19,16.1,,,7.61,,,,
1368,58.61,18.06,15.95,,,7.38,,,,
1369,58.51,18.17,15.92,2.26,1.69,1.34,1.23,0.8,0.07,0.0
1370,58.79,18.16,15.86,2.27,1.59,1.36,1.14,0.78,0.05,
1371,57.87,18.65,16.5,2.01,1.61,1.22,1.25,0.81,0.07,0.0
1372,57.89,19.28,16.92,1.68,1.48,1.04,1.03,0.61,0.08,
1373,57.8,19.08,16.9,1.8,1.41,1.18,1.05,0.73,0.07,
1374,58.08,18.89,16.57,1.93,1.48,1.16,1.1,0.72,0.06,
1375,56.89,19.3,17.15,1.85,1.49,1.19,1.29,0.76,0.08,
1376,56.52,19.64,17.47,1.83,1.45,1.2,1.11,0.69,0.08,
1377,56.56,19.63,17.48,1.89,1.38,1.28,1.14,0.59,0.04,
1378,56.65,19.64,17.35,1.73,1.48,1.27,1.16,0.65,0.07,
1379,56.06,20.3,17.86,1.57,1.31,1.14,1.1,0.58,0.09,
1380,55.57,20.59,18.03,1.7,1.23,1.23,0.99,0.58,0.08,
1381,55.08,21.0,18.19,1.55,1.26,1.28,0.96,0.57,0.11,
1382,53.61,21.4,18.91,1.61,1.4,1.24,1.22,0.49,0.12,
1383,53.16,21.77,19.12,1.59,1.26,1.26,1.12,0.57,0.15,
1384,52.45,22.29,19.6,1.45,1.29,1.18,1.07,0.53,0.13,
1385,51.79,22.85,19.85,1.44,1.21,1.19,1.04,0.5,0.12,
1386,50.84,23.44,20.37,1.44,1.15,1.22,0.93,0.46,0.14,
1387,50.18,24.24,20.75,1.12,1.16,1.04,0.9,0.45,0.15,
1388,49.67,24.5,20.84,1.23,1.15,1.2,0.8,0.45,0.16,
1389,48.84,25.14,21.26,1.29,1.07,1.15,0.74,0.4,0.11,
1390,48.44,25.58,21.56,1.23,0.95,1.14,0.64,0.36,0.1,
1391,47.62,26.15,21.85,1.24,0.98,1.11,0.62,0.33,0.11,
1392,46.07,27.3,23.2,0.96,0.84,0.81,0.5,0.26,0.06,
1393,45.89,27.53,23.13,0.98,0.84,0.83,0.49,0.25,0.06,
1394,45.59,27.8,23.13,1.07,0.84,0.85,0.43,0.22,0.06,
1395,44.99,28.14,23.33,1.14,0.83,0.84,0.46,0.23,0.05,
1396,44.55,28.25,23.47,1.28,0.84,0.84,0.47,0.25,0.05,
1397,43.59,28.68,23.99,1.21,0.86,0.75,0.5,0.35,0.08,
1398,43.61,28.92,23.92,1.16,0.85,0.69,0.49,0.3,0.05,
1399,43.89,29.12,23.89,1.08,0.77,0.61,0.39,0.22,0.03,
1400,43.78,29.47,23.97,0.98,0.7,0.54,0.36,0.19,0.02,
1401,43.35,30.01,24.11,0.9,0.66,0.45,0.31,0.18,0.05,
1402,42.83,30.59,24.23,0.85,0.57,0.39,0.32,0.19,0.04,
