Year,Female,Male,
1363,49.72,50.28,
1364,49.7,50.3,
1365,49.84,50.16,
1366,50.1,49.9,
1367,50.14,49.86,
1368,49.89,50.11,
1369,50.28,49.68,0.04
1370,50.13,49.87,
1371,50.15,49.85,0.0
1372,49.8,50.2,
1373,49.8,50.2,
1374,49.91,50.09,
1375,49.61,50.39,
1376,50.15,49.85,
1377,49.85,50.15,
1378,49.86,50.14,
1379,49.68,50.32,
1380,49.76,50.24,
1381,50.18,49.82,
1382,49.8,50.2,
1383,49.57,50.43,
1384,49.93,50.07,
1385,50.04,49.96,
1386,49.97,50.03,
1387,49.66,50.34,
1388,49.91,50.09,
1389,49.93,50.07,
1390,50.02,49.98,0.0
1391,50.01,49.99,
1392,49.96,50.04,
1393,50.06,49.94,
1394,50.1,49.9,
1395,50.0,50.0,
1396,49.98,50.02,
1397,49.91,50.09,
1398,50.07,49.93,
1399,50.05,49.95,
1400,49.97,50.03,
1401,50.06,49.94,0.0
