Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,58929,81312.7,503.84,81115,81126.0,84179
1364,57932,81270.55,364.12,81115,81126.0,83132
1365,9518,81253.05,369.5,81115,81126.0,83132
1366,10955,81251.18,329.9,81115,81126.0,83132
1367,15847,81242.4,320.98,81115,81126.0,83132
1368,25466,81254.58,333.31,81115,81126.0,83132
1369,40763,81234.85,256.68,81115,81126.0,86196
1370,43344,81221.35,236.62,81115,81137.0,86120
1371,44452,81220.99,224.69,81115,81137.0,83121
1372,30095,81219.17,199.39,81115,81137.0,83121
1373,48512,81224.16,212.03,81115,81217.0,83121
1374,88642,81234.78,229.33,81115,81217.0,83132
1375,55887,81224.56,192.78,81115,81217.0,83132
1376,57296,81229.74,198.74,81115,81217.0,83132
1377,46962,81235.06,202.21,81115,81217.0,83143
1378,75720,81240.49,209.14,81115,81217.0,83143
1379,77246,81241.07,198.23,81115,81217.0,83143
1380,83230,81246.49,207.47,81115,81217.0,83143
1381,106742,81250.9,215.52,81115,81228.0,83154
1382,84016,81255.96,216.28,81115,81239.0,83154
1383,152425,121904.16,1417.22,121111,121333.0,125511
1384,141091,121341.79,359.1,121111,121333.0,124116
1385,153566,121324.0,314.81,121111,121333.0,124116
1386,148355,121322.28,318.63,121111,121333.0,124116
1387,179795,121318.33,306.72,121111,121333.0,124116
1388,164646,121318.94,308.77,121111,121333.0,124116
1389,165799,121316.78,305.08,121111,121333.0,124116
1390,167337,121317.15,305.6,121111,121333.0,124116
1391,168300,121317.62,301.59,121111,121333.0,124116
1392,166831,121313.0,295.05,121111,121333.0,124116
1393,164830,121314.81,299.86,121111,121333.0,124116
1394,167267,121311.0,285.32,121111,121333.0,124116
1395,163944,121307.26,273.14,121111,121333.0,124116
1396,167212,121307.93,274.15,121111,121333.0,124116
1397,164207,121305.63,273.52,121111,121333.0,124116
1398,149582,121298.83,247.54,121111,121333.0,124116
1399,141004,121296.82,224.93,121111,121333.0,124116
1400,146826,121292.2,226.0,121111,121333.0,124116
1401,138888,121291.98,231.16,121111,121333.0,124114
1402,135203,121288.79,220.09,121111,121333.0,124116
