Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,58929.0,716.32,3786.17,10.0,300.0,400000.0
1364,57932.0,713.86,6140.56,10.0,300.0,1300000.0
1365,9518.0,836.4,5795.53,20.0,450.0,520000.0
1366,10955.0,850.81,2983.07,20.0,500.0,150000.0
1367,15847.0,923.15,3164.27,15.0,500.0,200000.0
1368,25466.0,1095.69,6121.31,8.0,550.0,800000.0
1369,40762.0,1152.0,3354.45,1.0,600.0,230000.0
1370,43343.0,1277.6,3147.1,16.0,700.0,200000.0
1371,44452.0,1582.95,7310.98,2.0,800.0,940000.0
1372,30095.0,1803.83,8113.88,30.0,1000.0,1200000.0
1373,48512.0,2806.39,14001.22,40.0,1500.0,1700000.0
1374,88620.0,4049.55,18626.7,70.0,2000.0,2150000.0
1375,55887.0,4618.06,23859.01,50.0,2400.0,3500000.0
1376,57296.0,5272.46,35988.23,3.0,2600.0,7500000.0
1377,46962.0,6079.15,23984.53,50.0,3000.0,2500000.0
1378,75720.0,6838.42,24817.18,100.0,3400.0,2400000.0
1379,77246.0,7880.82,28617.94,200.0,4000.0,2500000.0
1380,83230.0,9149.78,44323.26,100.0,4500.0,6580000.0
1381,106742.0,10318.1,50945.64,200.0,5000.0,8000000.0
1382,84016.0,11873.34,56587.21,150.0,5000.0,6000000.0
1383,152425.0,20909.37,87230.89,150.0,6000.0,10932657.0
1384,141030.0,12270.08,27310.78,200.0,6000.0,2500000.0
1385,153566.0,14129.0,38608.41,0.0,7000.0,5000000.0
1386,148355.0,17699.6,51330.32,300.0,10000.0,6000000.0
1387,179795.0,20627.34,49106.61,300.0,12000.0,6000000.0
1388,164646.0,24779.12,303639.91,500.0,15000.0,120000000.0
1389,165799.0,30246.79,112218.12,500.0,18000.0,24000000.0
1390,167337.0,36290.52,109974.45,500.0,20000.0,25000000.0
1391,168300.0,48494.34,158411.56,1000.0,30000.0,30000000.0
1392,166831.0,68273.43,135195.22,1000.0,45000.0,20000000.0
1393,164830.0,77847.9,185120.77,1000.0,50000.0,50000000.0
1394,167267.0,82661.47,275202.22,2000.0,50000.0,70000000.0
1395,163944.0,88478.65,251274.11,1000.0,50000.0,50000000.0
1396,167212.0,100426.31,353797.06,990.0,60000.0,83160000.0
1397,164207.0,137574.23,366508.0,2000.0,80000.0,67000000.0
1398,149582.0,179547.31,537595.69,4000.0,120000.0,150000000.0
1399,141004.0,237899.56,490111.97,5000.0,150000.0,68000000.0
1400,146826.0,349072.5,589007.62,5000.0,250000.0,43000000.0
1401,138888.0,540320.38,1071117.12,10000.0,350000.0,150000000.0
