Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,58929,726121.49,496489.68,1001,1034030.0,1234515
1364,57932,673384.12,505381.4,1001,1024053.0,1234425
1365,9518,624498.8,528784.28,1002,1013002.0,1234215
1366,10955,623823.03,522302.57,1001,1011024.0,1234210
1367,15847,637381.35,519386.49,1001,1021037.0,1234275
1368,25466,615043.63,512774.92,1001,1002081.5,1234275
1369,40763,616084.71,511472.09,1003,1004037.0,1234220
1370,43344,622360.18,508863.32,1001,1004106.0,1234220
1371,44452,632533.38,507669.35,1001,1011127.0,1234220
1372,30095,652351.55,505125.81,1001,1012001.0,1234225
1373,48512,748065.99,502647.86,1001,1051022.5,1244040
1374,88642,7138245.94,5055886.46,10001,10420132.5,12440080
1375,55887,642187.05,518390.57,1001,1021089.0,1244035
1376,57296,640801.89,518392.17,1001,1021022.5,1254055
1377,46962,61423722.13,51801926.84,11001,27064152.5,127074100
1378,75720,61876234.02,51382119.91,11001,26034094.5,127074070
1379,77246,60471392.27,51248109.76,11001,26031106.0,127074070
1380,83230,61399798.58,51343756.42,11001,26034146.0,127074070
1381,106742,63120350.6,51328160.69,11001,27063124.5,127074180
1382,84016,62490655.76,51343420.51,11001,27071085.0,127114115
1383,152425,66731008.09,51374812.37,11001,101093077.0,127114130
1384,141091,65435678.7,51352425.15,11001,101034007.0,129214070
1385,153566,62003896.89,51677604.33,11001,28024071.0,129214100
1386,148355,65119060.17,50958756.17,11001,100041075.0,129214115
1387,179795,1619053809.78,503364500.11,1000001001,1287411003.0,2297861005
1388,164646,1600166635.79,502590071.16,1000001001,1280027004.0,2290245005
1389,165799,1623464609.64,503443468.69,1000001171,1280123001.0,2290128464
1390,167337,1634271405.68,505019082.17,1000001172,1300016194.0,2300127066
1391,168300,1644202222.01,504663732.44,1000001177,1300076258.0,2300127069
1392,166831,16274990675.07,5035869022.79,10001000101,12907633916.0,23004664416
1393,164830,16310065781.91,5041399266.76,10001000112,12908635223.0,23004664416
1394,167267,16309043231.27,5039410381.45,10001000116,12911451926.0,23004664429
1395,163944,16292511064.33,5036925874.64,10001000120,12905631677.5,23004664434
1396,167212,16269171789.95,5035948344.42,10001000126,12901628029.0,23004664440
1397,164207,16077452436.73,5034344099.59,10001000102,12802348908.0,23006709817
1398,149582,16068773923.42,5040447957.33,10001000108,12802350114.0,23006709818
1399,141004,16099652997.39,5037298455.47,10001000113,12803351222.0,23006709829
1400,146826,16032380879.42,5024242736.58,10001000119,12802348478.5,23006709832
1401,138888,16028589984.51,5022077686.97,10001000126,12802348432.0,23006709841
