Year,Purchase,Non_Agricultural_Work,Donation,Instead_of_Private_Service,Home_Production,Instead_of_Cooperative_Service,Instead_of_Public_Service,Purchase_Free_Price,Purchase_Subsidised_Price,Agricultural_Work,
1363,,0.53,0.04,0.04,0.09,,0.07,85.58,13.6,0.05,
1364,,0.6,0.05,0.04,0.05,,0.06,87.93,11.24,0.04,
1365,,0.53,0.05,0.03,,,0.03,85.43,13.89,0.04,
1366,,0.57,0.05,0.05,0.06,,0.12,88.07,11.08,0.01,
1367,,0.37,0.04,0.03,0.04,,0.16,90.18,9.16,0.02,
1368,,0.57,0.04,0.05,0.07,,0.3,91.77,7.17,0.03,
1369,98.68,0.71,0.02,0.02,0.14,,0.28,,,0.03,0.11
1370,98.98,0.73,0.05,0.02,0.1,,0.07,,,0.01,0.03
1371,99.01,0.71,0.08,0.03,0.07,,0.02,,,0.02,0.05
1372,99.13,0.6,0.03,0.02,0.14,,0.02,,,0.01,0.05
1373,98.86,0.86,0.01,0.03,0.16,,0.03,,,0.02,0.02
1374,98.96,0.8,0.03,0.02,0.13,,0.04,,,0.01,0.01
1375,98.98,0.86,0.01,0.04,0.06,,0.04,,,0.01,
1376,98.86,0.9,0.03,0.03,0.08,,0.08,,,0.03,
1377,98.73,0.97,0.03,0.03,0.15,,0.09,,,0.0,
1378,98.64,1.14,0.04,0.04,0.09,,0.05,,,0.01,
1379,98.84,1.05,0.01,0.03,0.04,,0.03,,,0.01,
1380,98.8,1.1,0.01,0.02,0.04,0.0,0.02,,,,
1381,98.9,0.93,0.03,0.02,0.08,,0.03,,,0.01,
1382,99.02,0.86,0.03,0.02,0.03,0.01,0.02,,,0.01,
1383,94.22,0.89,0.75,1.28,0.06,0.05,2.74,,,0.02,
1384,98.66,1.03,0.07,0.03,0.08,0.0,0.12,,,0.01,0.0
1385,98.65,1.2,0.05,0.01,0.0,0.01,0.07,,,0.0,0.01
1386,98.65,1.21,0.06,0.01,0.0,0.0,0.06,,,0.0,
1387,98.99,0.93,0.02,0.02,0.0,0.01,0.03,,,0.01,
1388,98.88,1.0,0.08,0.01,0.0,0.0,0.03,,,0.0,
1389,99.0,0.92,0.04,0.02,0.0,,0.01,,,,
1390,99.15,0.79,0.02,0.01,0.0,0.0,0.02,,,0.0,
1391,99.19,0.75,0.03,0.01,0.01,0.0,0.01,,,0.0,
1392,99.31,0.61,0.02,0.01,0.05,0.0,0.0,,,0.0,
1393,99.32,0.64,0.02,0.02,0.0,0.0,0.0,,,0.0,
1394,99.28,0.66,0.03,0.03,0.01,,0.01,,,,
1395,99.2,0.75,0.01,0.03,0.01,0.0,0.01,,,0.0,
1396,99.15,0.78,0.03,0.04,0.0,0.0,0.0,,,0.0,
1397,99.24,0.69,0.04,0.02,0.0,,0.0,,,0.0,
1398,99.2,0.72,0.02,0.01,0.04,0.0,0.01,,,0.0,
1399,99.2,0.55,0.02,0.03,0.2,,0.0,,,,
1400,99.12,0.55,0.01,0.02,0.29,0.0,0.0,,,0.0,
1401,99.37,0.58,0.02,0.03,0.0,,,,,,
1402,99.33,0.57,0.06,0.03,0.01,0.0,0.0,,,,
