Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,4128.0,8894.23,391141.88,0.0,0.0,25099999.0
1370,4790.0,55756.26,167234.56,0.0,0.0,3750000.0
1371,4886.0,64846.35,263004.44,0.0,0.0,11384800.0
1372,3139.0,101472.98,271911.78,0.0,0.0,6000000.0
1373,5554.0,134439.98,397813.56,0.0,0.0,9500000.0
1374,11663.0,155510.83,404269.31,0.0,0.0,16800000.0
1375,6517.0,189778.38,653752.88,0.0,0.0,26000000.0
1376,6915.0,240408.8,612485.56,0.0,0.0,9900000.0
1377,5596.0,338740.78,948055.88,0.0,0.0,35118400.0
1378,12202.0,345049.69,1109897.5,0.0,0.0,76000000.0
1379,10670.0,493682.41,1661084.38,0.0,0.0,120000000.0
1380,12391.0,513197.38,1711819.12,0.0,0.0,85000000.0
1381,15277.0,591359.88,1689852.28,0.0,0.0,80000000.0
1382,10014.0,686642.62,2055393.0,0.0,0.0,43000000.0
1383,12311.0,740844.14,3299814.92,0.0,0.0,240000000.0
1384,5435.0,2750915.5,6953758.0,0.0,2000000.0,416000000.0
1385,8100.0,3196177.68,5931333.43,0.0,2400000.0,302050000.0
1386,9931.0,2820455.25,5260715.0,0.0,1280000.0,146000000.0
1387,12802.0,2591988.5,4938203.0,0.0,960000.0,96000000.0
1388,15807.0,2546771.59,5424516.72,0.0,0.0,153600000.0
1389,19203.0,2856592.5,6534889.0,0.0,0.0,192000000.0
1390,12649.0,3225520.64,10008791.26,0.0,0.0,700000000.0
1391,13084.0,3387207.59,9545934.0,0.0,0.0,300000000.0
1392,11382.0,4187446.14,12834224.07,0.0,0.0,600000000.0
1393,10733.0,4868048.0,12695764.0,0.0,2000000.0,220000000.0
1394,10797.0,5604218.76,14756109.76,0.0,3600000.0,342000000.0
1395,10812.0,6311222.27,17933856.33,0.0,4800000.0,486000000.0
1396,11865.0,7417380.79,19224786.49,0.0,0.0,500000000.0
1397,12905.0,10475974.61,24395875.94,0.0,0.0,540000000.0
1398,19480.0,10528682.86,25402730.81,0.0,2740000.0,1250000000.0
1399,37173.0,23720342.94,51846308.69,0.0,20640000.0,8600000000.0
1400,35732.0,28479569.17,38428999.55,0.0,20640000.0,2064000000.0
1401,53724.0,50158779.01,59442852.34,0.0,34560000.0,1084750000.0
