Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,4128.0,68340.74,163259.64,0.0,0.0,4250000.0
1370,4790.0,26027.32,154404.95,0.0,0.0,6000000.0
1371,4886.0,29744.39,159848.95,0.0,0.0,3600000.0
1372,3139.0,27840.97,151604.78,0.0,0.0,2400000.0
1373,5554.0,71428.23,374713.47,0.0,0.0,12000000.0
1374,11663.0,94488.95,442726.91,0.0,0.0,15000000.0
1375,6517.0,123448.21,579626.12,0.0,0.0,15000000.0
1376,6915.0,138413.14,807324.0,0.0,0.0,30500000.0
1377,5596.0,111406.94,636992.62,0.0,0.0,20000000.0
1378,12202.0,106658.66,709648.88,0.0,0.0,36000000.0
1379,10670.0,155760.92,907519.81,0.0,0.0,30000000.0
1380,12391.0,125718.25,946064.44,0.0,0.0,60000000.0
1381,15277.0,134759.83,1116939.12,0.0,0.0,70000000.0
1382,10014.0,226936.52,2747818.75,0.0,0.0,200000000.0
1383,12311.0,369255.5,4895304.0,0.0,0.0,305000000.0
1384,3558.0,1350304.25,4779219.5,0.0,0.0,135000000.0
1385,5525.0,1235546.5,6847176.0,0.0,0.0,250000000.0
1386,7138.0,1095943.0,5423948.5,0.0,0.0,180000000.0
1387,9318.0,742077.88,4585429.0,0.0,0.0,300000000.0
1388,11895.0,518236.59,2841880.25,0.0,0.0,60000000.0
1389,16252.0,2146498.5,4549818.5,0.0,0.0,200000000.0
1390,9472.0,717521.06,6377048.0,0.0,0.0,330380000.0
1391,9757.0,660722.56,4616981.5,0.0,0.0,150000000.0
1392,7849.0,1137291.88,7424696.0,0.0,0.0,240000000.0
1393,7424.0,2122763.0,13396005.0,0.0,0.0,500000000.0
1394,7225.0,2980975.0,38494904.0,0.0,0.0,3000000000.0
1395,7054.0,2831288.25,17214438.0,0.0,0.0,360000000.0
1396,8360.0,2697383.5,12050456.0,0.0,0.0,300000000.0
1397,8960.0,2540444.75,13901112.0,0.0,0.0,500000000.0
1398,10073.0,2690819.75,15546628.0,0.0,0.0,480000000.0
1399,12960.0,2643066.75,21146586.0,0.0,0.0,960000000.0
1400,11416.0,4429044.5,29006894.0,0.0,0.0,840000000.0
1401,53724.0,1505632.38,35212392.0,0.0,0.0,6000000000.0
