Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,4128,646749.69,509627.09,1008,1012127.0,1234219
1370,4790,676046.72,499412.74,1008,1014088.5,1234220
1371,4886,713023.33,490080.95,1001,1022038.5,1234217
1372,3139,701251.01,499109.01,1002,1022066.0,1234224
1373,5554,798328.07,493415.97,1004,1072131.0,1244040
1374,11663,7016543.18,5074645.64,10008,10410163.0,12440080
1375,6517,667529.19,518631.32,1002,1024050.0,1244025
1376,6915,674802.72,521309.5,1013,1031112.0,1254055
1377,5596,63719917.77,51943531.27,11001,101031013.5,127074098
1378,12202,61718570.32,51705683.94,11004,26031108.5,127074070
1379,10670,58591599.22,51162358.16,11004,24034050.5,127074069
1380,12391,58052824.58,51286389.29,11002,24043071.0,127074067
1381,15277,60445146.52,51198523.17,11002,26014006.0,127074178
1382,10014,63545442.38,51384514.6,11008,27072091.5,127113115
1383,12311,60160137.44,51144114.35,11003,25012012.0,127114126
1384,14464,62402897.93,50952806.66,11002,28091049.0,129213070
1385,17173,61052543.67,51282216.19,11002,28023031.0,129214100
1386,17413,62630559.13,50519496.54,11004,29034003.0,129214115
1387,21578,1668683007.53,510570952.13,1000001002,2000277004.0,2297861005
1388,26045,1700913996.05,506264899.45,1000001001,2020175005.0,2290245005
1389,28341,1672771908.85,506058460.12,1000001171,2010048055.0,2290128464
1390,20153,1635101615.67,507837305.32,1000001177,1290096060.0,2300126263
1391,20375,1630130619.95,507171989.77,1000001177,1290066247.0,2300127069
1392,18595,16341674394.19,5041665956.46,10001000101,13001647305.0,23004664416
1393,20023,16440553267.86,5056588919.84,10001000108,13001651216.0,23004664416
1394,21266,16437188379.47,5046811264.52,10001000116,13001651727.5,23004664423
1395,21647,16390393757.35,5052602714.79,10001000120,13001647928.0,23004664432
1396,25316,16608713470.89,5048053205.42,10001000126,20007017538.5,23004664440
1397,35009,16502635222.82,5082078891.64,10001000102,13001378205.0,23006709817
1398,37964,16471108000.02,5064854339.33,10001000108,13001374416.0,23006709818
1399,47622,16566244938.3,5051549864.14,10001000113,20003386672.0,23006709829
1400,49442,16592860272.93,5042074543.38,10001000119,20006389822.5,23006709827
1401,53724,16488078894.27,5046854046.25,10001000126,20001384441.0,23006709841
1402,47606,16563127275.18,5041578241.3,10001000132,20006390245.5,23006709644
