Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,4128.0,18251.55,424917.81,0.0,0.0,25000000.0
1370,4790.0,18514.34,283255.81,0.0,0.0,16800000.0
1371,4886.0,20738.06,486096.25,0.0,0.0,32580000.0
1372,3139.0,36137.85,416271.12,0.0,0.0,19200000.0
1373,5554.0,39701.62,345393.47,0.0,0.0,12000000.0
1374,11663.0,57374.99,1013541.19,0.0,0.0,100000000.0
1375,6517.0,80842.88,745782.94,0.0,0.0,20000000.0
1376,6915.0,113232.39,1224893.75,0.0,0.0,60000000.0
1377,5596.0,127765.41,1286449.88,0.0,0.0,41700000.0
1378,12202.0,126187.83,1659831.25,0.0,0.0,96000000.0
1379,10670.0,165701.53,1835698.62,0.0,0.0,100000000.0
1380,12391.0,196577.3,2108393.25,0.0,0.0,100000000.0
1381,15277.0,250245.27,3493295.5,0.0,0.0,300000000.0
1382,10014.0,319369.75,3822982.75,0.0,0.0,185000000.0
1383,12311.0,370305.12,3814915.0,0.0,0.0,139200000.0
1384,2815.0,2243639.25,10794014.0,0.0,0.0,270000000.0
1385,4711.0,1616920.62,10284996.0,0.0,0.0,480000000.0
1386,6692.0,1462683.75,10119910.0,0.0,0.0,350000000.0
1387,10796.0,1561430.62,29146920.0,0.0,0.0,2900000000.0
1388,17776.0,1941359.82,13880452.07,0.0,800000.0,1405000000.0
1389,16845.0,1909633.25,7719415.5,0.0,0.0,450000000.0
1390,9650.0,1857860.5,13417223.0,0.0,0.0,602720000.0
1391,9720.0,1904948.62,14081178.0,0.0,0.0,660000000.0
1392,7846.0,3261995.25,34848632.0,0.0,0.0,2400000000.0
1393,7625.0,5355333.0,31076374.0,0.0,0.0,1500000000.0
1394,7886.0,9267552.0,42537780.0,0.0,0.0,1800000000.0
1395,7735.0,10745074.68,45379754.83,0.0,0.0,1835000000.0
1396,11361.0,9227359.49,48553370.09,0.0,0.0,1800000000.0
1397,24798.0,5278381.87,38248344.93,0.0,750000.0,2000000000.0
1398,25122.0,5781842.19,42259477.97,0.0,850000.0,2060000000.0
1399,30065.0,6683924.23,56695622.78,0.0,980000.0,4000000000.0
1400,33590.0,7854210.38,67264897.89,0.0,1000000.0,6009000000.0
1401,53724.0,10971864.98,76749820.13,0.0,5000000.0,8400000000.0
1402,47606.0,19712051.36,95790524.34,0.0,11000000.0,8012000000.0
