Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,4128,1.54,1.97,1,1.0,81
1370,4790,1.47,1.46,0,1.0,15
1371,4886,1.41,1.32,0,1.0,12
1372,3139,1.44,1.42,0,1.0,14
1373,5554,1.4,1.26,0,1.0,20
1374,11663,1.54,1.48,1,1.0,19
1375,6517,1.5,1.44,1,1.0,17
1376,6915,1.53,1.52,1,1.0,17
1377,5596,1.56,1.6,1,1.0,20
1378,12202,1.57,1.57,1,1.0,25
1379,10670,1.54,1.52,1,1.0,19
1380,12391,1.5,1.38,1,1.0,16
1381,15277,1.5,1.36,1,1.0,13
1382,10014,1.53,1.38,1,1.0,13
1383,12311,1.58,1.43,1,1.0,16
1384,14464,1.58,1.36,1,1.0,15
1385,17173,1.58,1.35,1,1.0,13
1386,17413,1.62,1.4,1,1.0,14
1387,21578,1.57,1.27,1,1.0,19
1388,26043,1.66,1.33,1,1.0,17
1389,28341,1.4,1.09,1,1.0,15
1390,20147,1.43,1.12,1,1.0,14
1391,20365,1.5,1.2,1,1.0,20
1392,18590,1.5,1.18,1,1.0,13
1393,20023,1.53,1.21,1,1.0,14
1394,21264,1.54,1.24,1,1.0,14
1395,21647,1.48,1.15,1,1.0,13
1396,25316,1.55,1.15,1,1.0,11
1397,35008,1.64,1.14,1,1.0,14
1398,37964,1.58,1.07,1,1.0,13
1399,47620,1.5,1.01,1,1.0,12
1400,49441,1.53,1.0,1,1.0,11
1401,53724,1.56,0.99,1,1.0,14
