Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,4128.0,134948.89,828363.62,0.0,0.0,40000000.0
1370,4790.0,149719.67,575516.88,0.0,0.0,18000000.0
1371,4886.0,195786.41,1248551.88,0.0,0.0,70000000.0
1372,3139.0,233421.19,634781.44,0.0,0.0,10200000.0
1373,5554.0,377319.56,1616168.75,0.0,0.0,84000000.0
1374,11663.0,395877.44,1691046.62,0.0,0.0,72000000.0
1375,6517.0,605059.38,2397493.25,0.0,0.0,100200000.0
1376,6915.0,580002.19,1764627.88,0.0,0.0,36000000.0
1377,5596.0,831486.19,2840379.25,0.0,0.0,80060000.0
1378,12202.0,805133.88,3577478.25,0.0,0.0,200000000.0
1379,10670.0,1053936.75,5228854.0,0.0,0.0,250000000.0
1380,12391.0,1159944.49,7076669.47,0.0,0.0,510001000.0
1381,15277.0,1463301.03,8043017.21,0.0,0.0,511800000.0
1382,10014.0,1907688.88,10084407.0,0.0,0.0,450000000.0
1383,12311.0,2084417.12,9118263.0,0.0,0.0,400000000.0
1384,4734.0,7083040.5,16927694.0,0.0,2400000.0,450000000.0
1385,6842.0,6328708.5,18129520.0,0.0,0.0,740000000.0
1386,8236.0,6418879.57,19858468.22,0.0,0.0,789600000.0
1387,10593.0,6353127.77,45598100.73,0.0,0.0,4248000000.0
1388,13074.0,4787248.5,19516022.0,0.0,0.0,1200000000.0
1389,15163.0,4913798.0,18423472.0,0.0,0.0,768000000.0
1390,10780.0,6766391.5,19407240.0,0.0,0.0,420000000.0
1391,10886.0,8398305.0,27768690.0,0.0,0.0,960000000.0
1392,8772.0,10527530.0,34699372.0,0.0,0.0,1200000000.0
1393,8783.0,15186905.39,58471526.18,0.0,0.0,3600000000.0
1394,9039.0,17333675.65,43025556.46,0.0,0.0,1000000000.0
1395,8939.0,19452916.0,51570020.0,0.0,0.0,1750000000.0
1396,9917.0,20861242.4,58681388.14,0.0,0.0,1240000000.0
1397,10480.0,21895142.1,85171540.05,0.0,0.0,4395000000.0
1398,11552.0,23398365.65,74795355.37,0.0,0.0,1500000000.0
1399,14099.0,22336371.46,96239852.49,0.0,0.0,3480000000.0
1400,12438.0,36655746.36,159152024.12,0.0,0.0,7200000000.0
1401,53724.0,12372864.64,106113679.0,0.0,0.0,8000000000.0
