Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,4128.0,134913.55,352111.41,0.0,0.0,9960000.0
1370,4790.0,170015.94,388576.94,0.0,0.0,8350000.0
1371,4886.0,200741.75,500448.59,0.0,0.0,14978000.0
1372,3139.0,378741.19,1404728.12,0.0,0.0,64200000.0
1373,5554.0,549392.5,1297908.0,0.0,0.0,33300000.0
1374,11663.0,611140.06,1418904.75,0.0,0.0,50570000.0
1375,6517.0,875149.88,1783319.75,0.0,0.0,34000000.0
1376,6915.0,1135857.25,2083581.0,0.0,0.0,41860000.0
1377,5596.0,1388382.62,2852970.5,0.0,0.0,98000000.0
1378,12202.0,1263142.42,4274320.43,0.0,0.0,323750000.0
1379,10670.0,1555530.1,3731190.62,0.0,0.0,88700000.0
1380,12391.0,1928934.65,5069639.11,0.0,0.0,190350000.0
1381,15277.0,2591740.85,6498698.09,0.0,0.0,174800000.0
1382,10014.0,3507243.43,18526492.68,0.0,0.0,1276131600.0
1383,12311.0,3907612.53,9614562.36,0.0,0.0,263408000.0
1384,4879.0,13446472.68,16475763.89,0.0,14440000.0,320000000.0
1385,6863.0,14349994.92,20937188.5,0.0,13200000.0,786548084.0
1386,8655.0,14858431.75,21496731.57,0.0,0.0,390579840.0
1387,11793.0,17143997.77,26820285.46,0.0,0.0,800000000.0
1388,14218.0,18541579.46,29945828.7,0.0,0.0,505000000.0
1389,16391.0,21202521.95,35027634.53,0.0,0.0,925000000.0
1390,12724.0,32026761.28,42908987.53,0.0,0.0,1360000000.0
1391,13105.0,37264507.95,48026907.57,0.0,6000000.0,1115000000.0
1392,11051.0,46330789.51,57653263.25,0.0,21600000.0,1240200000.0
1393,11449.0,59356109.83,68792463.93,0.0,47000000.0,1600251000.0
1394,11621.0,70827085.88,76989398.35,0.0,65400000.0,1080030000.0
1395,11296.0,87321045.45,97242224.62,0.0,96000000.0,3000400000.0
1396,12753.0,93912390.97,104802805.27,0.0,72000000.0,1532000000.0
1397,13795.0,104698632.39,129025978.57,0.0,55800000.0,3148520000.0
1398,15107.0,126229469.15,152518365.29,0.0,51600000.0,2030000000.0
1399,18346.0,154745115.31,213587315.88,0.0,0.0,2980000000.0
1400,17388.0,271735751.62,340683604.92,0.0,58900000.0,7200000000.0
1401,53724.0,120830183.32,307203120.82,0.0,0.0,7500000000.0
