Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1378,12202.0,423405.03,1795703.75,0.0,0.0,80000000.0
1379,10670.0,350524.75,1965916.25,0.0,0.0,117000000.0
1380,12391.0,779747.94,3471774.75,0.0,0.0,240000000.0
1381,15277.0,949931.56,3097167.25,0.0,0.0,100000000.0
1382,10014.0,1173517.88,5486075.5,0.0,0.0,300000000.0
1383,12311.0,1455911.88,4976133.5,0.0,0.0,178500000.0
1384,7224.0,3395571.0,8779727.0,0.0,600000.0,350000000.0
1385,9299.0,3387816.5,8233714.0,0.0,500000.0,250000000.0
1386,9570.0,3506672.25,9200897.0,0.0,300000.0,300000000.0
1387,12484.0,3625950.25,10377102.0,0.0,250000.0,300000000.0
1388,15019.0,3471278.0,10292269.0,0.0,0.0,320000000.0
1389,16930.0,3470026.5,10741476.0,0.0,0.0,500000000.0
1390,12146.0,4894507.0,13797263.0,0.0,200000.0,500000000.0
1391,12648.0,5570365.0,18449456.0,0.0,250000.0,800000000.0
1392,11426.0,7554193.5,19708398.0,0.0,500000.0,450000000.0
1393,11912.0,9772566.0,23931938.0,0.0,800000.0,800000000.0
1394,12284.0,12343013.0,30276972.0,0.0,1000000.0,850000000.0
1395,12792.0,14226182.0,48701200.0,0.0,1700000.0,4000000000.0
1396,14258.0,15295850.0,37647920.0,0.0,2000000.0,850000000.0
1397,15885.0,15906445.45,45636085.62,0.0,1800000.0,2000000000.0
1398,16671.0,18182226.0,69428952.0,0.0,1500000.0,5000000000.0
1399,18602.0,16494397.25,76240474.68,0.0,0.0,7000000000.0
1400,17125.0,24405482.19,97029144.13,0.0,0.0,4500000000.0
1401,53724.0,11366549.42,69966071.75,0.0,0.0,3800000000.0
