Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550.0,4444.64,70112.38,0.0,0.0,6300000.0
1370,23960.0,5417.33,94110.63,0.0,0.0,8600000.0
1371,24136.0,10641.27,474663.12,0.0,0.0,50000000.0
1372,15377.0,9933.94,190078.05,0.0,0.0,18000000.0
1373,21557.0,18844.48,389119.44,0.0,0.0,45000000.0
1374,44077.0,22319.47,473342.28,0.0,0.0,60000000.0
1375,27840.0,27826.52,749504.94,0.0,0.0,90000000.0
1376,26580.0,27128.47,350345.19,0.0,0.0,25000000.0
1377,22012.0,35467.48,933777.12,0.0,0.0,120000000.0
1378,34611.0,41029.28,826487.0,0.0,0.0,80000000.0
1379,32478.0,56084.89,1911632.88,0.0,0.0,300000000.0
1380,30263.0,47793.07,625222.69,0.0,0.0,50000000.0
1381,35032.0,81286.06,2802384.75,0.0,0.0,500000000.0
1382,25550.0,63531.22,1099927.0,0.0,0.0,150000000.0
1383,27634.0,69056.52,1165446.0,0.0,0.0,78000000.0
1384,12066.0,210262.39,3261961.0,0.0,0.0,250000000.0
1385,16099.0,213304.34,3213915.0,0.0,0.0,250000000.0
1386,16729.0,335312.47,11273519.52,0.0,0.0,1189000000.0
1387,20636.0,223042.72,3433414.25,0.0,0.0,400000000.0
1388,20764.0,278686.0,5448855.0,0.0,0.0,445000000.0
1389,21518.0,226619.47,2850438.5,0.0,0.0,250000000.0
1390,18964.0,330305.04,3568303.42,0.0,0.0,200000000.0
1391,19959.0,472692.28,9499214.0,0.0,0.0,850000000.0
1392,17847.0,436473.88,6338023.5,0.0,0.0,600000000.0
1393,16501.0,418441.25,5170404.0,0.0,0.0,500000000.0
1394,16347.0,543661.62,6394029.0,0.0,0.0,500000000.0
1395,15878.0,681846.5,7419149.0,0.0,0.0,500000000.0
1396,16672.0,764099.31,7941667.5,0.0,0.0,580000000.0
1397,18786.0,911101.69,11957300.0,0.0,0.0,1000000000.0
1398,18948.0,1019478.81,17318674.0,0.0,0.0,1700000000.0
1399,16591.0,1277649.62,21650118.0,0.0,0.0,1940000000.0
1400,15830.0,2102414.4,84498589.42,0.0,0.0,8600000000.0
1401,17313.0,2639498.5,47677976.0,0.0,0.0,5680000000.0
