Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550.0,555911.01,3277047.37,0.0,23350.0,99999999.0
1370,23960.0,656182.16,3666514.07,0.0,26725.0,92160000.0
1371,24136.0,834389.93,4817602.75,0.0,30000.0,99999999.0
1372,15377.0,1039643.0,5819913.76,0.0,39300.0,99999999.0
1373,21557.0,1575728.78,7402358.88,0.0,48000.0,99999999.0
1374,44077.0,2542216.18,29088899.07,0.0,80000.0,4000000000.0
1375,27840.0,2903621.92,23062480.08,0.0,85000.0,1800000000.0
1376,26580.0,3382092.57,28533811.53,0.0,96000.0,1800000000.0
1377,22012.0,3736011.72,43121327.5,0.0,100150.0,4800000000.0
1378,34611.0,4815486.03,41431151.65,0.0,150000.0,3650000000.0
1379,32478.0,6594196.37,59955883.24,0.0,210000.0,6000000000.0
1380,30263.0,7233879.78,58714740.5,0.0,230000.0,3401250000.0
1381,35032.0,9248858.27,71698862.73,0.0,347500.0,8064300000.0
1382,25550.0,12028928.08,90193265.49,0.0,450000.0,7474000000.0
1383,27634.0,10533601.87,57858796.02,0.0,405250.0,1686967250.0
1384,22546.0,17508707.69,122046674.26,0.0,1500000.0,7045000000.0
1385,26389.0,21779623.57,144570033.96,0.0,1800000.0,6000000000.0
1386,24793.0,27310134.39,188502849.87,0.0,2050000.0,9850000000.0
1387,28252.0,28106731.92,162606065.18,0.0,2090000.0,8500000000.0
1388,26848.0,29558065.7,201902370.41,0.0,2200000.0,9300000000.0
1389,26596.0,32861444.55,206478423.51,0.0,2500000.0,9600000000.0
1390,24011.0,37437305.44,196984861.09,0.0,4200000.0,9999990000.0
1391,24779.0,52454107.49,277846558.91,0.0,5300000.0,9600000000.0
1392,22519.0,65537027.19,300327606.59,0.0,8500000.0,9750000000.0
1393,21409.0,75933765.39,334248228.85,0.0,10500000.0,18000000000.0
1394,20737.0,87514416.95,583607212.5,0.0,12200000.0,50000000000.0
1395,20563.0,106020273.76,879076029.69,0.0,15000000.0,90000000000.0
1396,21162.0,110493916.8,636149688.39,0.0,15000000.0,40000000000.0
1397,21344.0,197263138.93,5570796351.23,0.0,20000000.0,780000000000.0
1398,21152.0,204414953.35,1463560090.32,0.0,23000000.0,120000000000.0
1399,18743.0,274139407.16,1490111329.79,0.0,30000000.0,80000000000.0
1400,17973.0,446848873.09,2581423487.83,0.0,50000000.0,150000000000.0
1401,17313.0,673710676.54,3938724609.53,0.0,60000000.0,247500000000.0
1402,17568.0,1009028313.01,6074571769.51,0.0,95000000.0,400000000000.0
