Year,5.0,6.0,4.0,2.0,3.0,1.0,,Independent_Worker,Family_Worker,Employer
1369,,,,71.5,19.43,9.08,,,,
1370,,,,72.29,17.51,10.2,,,,
1371,,,,71.03,19.67,9.3,,,,
1372,,,,69.94,19.0,11.06,,,,
1373,,,,68.1,19.06,12.85,,,,
1374,,,,68.93,20.69,10.36,0.02,,,
1375,,,,63.72,24.1,12.17,,,,
1376,,,,64.37,24.29,11.34,,,,
1377,,,,65.9,23.34,10.76,,,,
1378,,,,66.47,23.38,10.16,,,,
1379,,,,65.06,23.39,11.54,,,,
1380,,,,64.48,23.37,12.15,,,,
1381,,,,65.27,22.97,11.75,,,,
1382,,,,64.77,22.63,12.59,,,,
1383,,,,63.43,23.94,12.63,,,,
1384,,,,63.47,23.46,13.07,,,,
1385,,,,60.36,26.72,12.92,,,,
1386,,,,61.86,25.69,12.45,0.0,,,
1387,,,,64.56,24.27,11.15,0.01,,,
1388,,,,63.86,24.81,11.3,0.02,,,
1389,,,,65.58,22.65,11.76,0.0,,,
1390,,,,67.72,20.42,11.84,0.02,,,
1391,,,,,,,0.01,66.57,21.73,11.7
1392,,,,,,,0.0,69.51,19.62,10.86
1393,,,,,,,0.01,70.85,19.04,10.1
1394,,,,,,,0.01,73.59,17.49,8.91
1395,,,,,,,,74.47,16.29,9.24
1396,,,,,,,,76.08,15.15,8.77
1397,,,,,,,0.03,76.36,14.15,9.45
1398,75.3,15.26,9.44,,,,0.0,,,
1399,75.19,15.85,8.96,,,,0.01,,,
1400,76.78,14.24,8.98,,,,,,,
1401,79.96,11.64,8.4,,,,,,,
1402,76.84,12.36,10.79,,,,,,,
