Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550,335718.57,444481.96,1004,103138.5,1234220
1370,23960,340950.82,444497.08,1004,111047.5,1234220
1371,24136,349043.47,446334.99,1001,122004.0,1234220
1372,15377,356404.63,455167.23,1001,103086.0,1234218
1373,21557,443467.64,493528.88,1001,132001.0,1244035
1374,44077,4180121.35,4695300.1,10001,1720007.0,12440079
1375,27840,331547.26,444708.93,1001,94198.0,1244033
1376,26580,336165.12,446629.34,1002,94216.5,1254055
1377,22012,33951670.72,44250124.02,11001,10103071.5,127074100
1378,34611,36167260.04,44279715.73,11001,15053076.0,127074069
1379,32478,35669930.6,43671244.23,11001,15093129.0,127074068
1380,30263,35842188.91,43897198.58,11001,16043039.0,127074069
1381,35032,37379114.81,44499140.31,11001,17024067.0,127074179
1382,25550,38200814.25,45098377.86,11002,17011034.0,127114115
1383,27634,37469467.15,44628426.91,11001,16062070.0,127114128
1384,29117,38381050.0,44749020.03,11003,17042121.0,129214070
1385,32590,35835117.63,44308745.62,11001,16011016.0,129214100
1386,29505,39319294.17,45250920.49,11001,18034068.0,129214113
1387,31454,1860815868.16,449534660.73,1000001002,2061771503.0,2297861005
1388,29622,1828789907.75,461548262.41,1000001004,2050158004.0,2290245005
1389,28653,1856100066.22,447242513.3,1000002124,2050107174.0,2290128459
1390,26002,1848356197.61,452434271.79,1000006007,2050099067.0,2300127061
1391,26789,1862749973.6,447142303.52,1000004019,2060091016.0,2300127061
1392,24493,18451612112.72,4553501671.0,10001000105,20514129412.0,23003663312
1393,23498,18454512274.34,4571801101.39,10001000123,20514129720.0,23004664412
1394,22404,18311226456.3,4631218221.66,10001000313,20509125627.0,23004664429
1395,21822,18283681898.55,4652434816.64,10001000229,20510126832.0,23004664134
1396,22290,18336336216.75,4648689021.79,10001000127,20513129037.0,23004664240
1397,21988,17995622273.14,4806995064.01,10001000217,20510447508.0,23006709814
1398,21651,18056327779.5,4756110178.61,10001000211,20505444907.0,23006709620
1399,19323,18130950871.9,4717793433.89,10001000226,20509447017.0,23006709829
1400,18570,18003536720.25,4772320581.52,10001000235,20504443924.0,23006709827
1401,17313,17894647568.59,4829077290.83,10001000141,20507445729.0,23006709832
