Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,23674,2481.93,2288.92,200,1121.0,9599
1370,23392,2506.11,2299.14,200,1121.0,9599
1371,23488,2536.16,2289.64,130,1122.0,9599
1372,15082,2649.76,2380.66,130,1122.0,9599
1373,21059,2956.14,2534.85,140,1122.0,9599
1374,44070,1622.25,2287.21,0,124.0,9899
1375,27840,153.2,228.61,11,12.0,970
1376,26580,155.69,229.02,11,12.0,950
1377,22012,161.6,235.21,11,12.0,950
1378,34611,1608.0,2341.11,111,124.0,9500
1379,32478,1588.11,2319.89,111,124.0,9500
1380,30263,1679.04,2396.55,111,124.0,9500
1381,35032,1710.64,2430.1,111,124.0,9500
1382,25550,1708.0,2441.94,111,124.0,9600
1383,27634,1740.02,2457.72,111,124.0,9500
1384,29117,1711.74,2459.7,111,124.0,9500
1385,32590,1714.36,2458.38,111,124.0,9600
1386,29504,1858.75,2540.7,111,124.0,9500
1387,31450,1881.5,2553.63,0,124.0,9500
1388,29616,1853.22,2552.47,0,124.0,9500
1389,28652,1929.49,2583.76,0,124.0,9500
1390,25998,2021.02,2616.15,0,124.0,9500
1391,26787,1934.87,2583.03,0,124.0,9500
1392,24492,18389.8,24074.89,1110,1440.0,97000
1393,23495,18549.83,24208.07,1110,1440.0,97000
1394,22402,19822.18,24786.65,1110,1440.0,97000
1395,21822,19910.71,24969.23,1110,1440.0,97000
1396,22290,19469.27,24526.09,1110,1440.0,97000
1397,21982,20667.22,24770.28,1110,1440.0,97000
1398,21649,20140.2,24846.79,1110,1440.0,97000
1399,19318,19820.55,24717.31,1110,1440.0,97000
1400,18569,20817.93,24937.18,1110,1440.0,97000
1401,17313,22313.85,25398.32,1110,1440.0,97000
1402,17568,22295.88,25401.89,1110,1440.0,97000
