Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550,1.69,1.45,1,1.0,20
1370,23960,1.61,1.34,0,1.0,23
1371,24136,1.67,1.41,0,1.0,25
1372,15377,1.67,1.52,1,1.0,91
1373,21557,1.69,1.4,0,1.0,23
1374,44077,1.69,1.42,0,1.0,51
1375,27840,1.77,1.46,1,1.0,21
1376,26580,1.76,1.47,1,1.0,23
1377,22012,1.77,1.45,1,1.0,22
1378,34611,1.76,1.42,1,1.0,16
1379,32478,1.77,1.44,1,1.0,20
1380,30263,1.8,1.46,1,1.0,21
1381,35032,1.8,1.46,1,1.0,17
1382,25550,1.78,1.43,1,1.0,20
1383,27634,1.8,1.42,1,1.0,18
1384,29117,1.79,1.41,1,1.0,15
1385,32590,1.85,1.42,1,1.0,16
1386,29504,1.82,1.38,1,1.0,19
1387,31450,1.76,1.35,1,1.0,16
1388,29616,1.78,1.37,1,1.0,19
1389,28652,1.72,1.3,1,1.0,13
1390,25998,1.64,1.2,1,1.0,13
1391,26787,1.65,1.19,1,1.0,15
1392,24492,1.57,1.08,1,1.0,12
1393,23495,1.55,1.05,1,1.0,12
1394,22402,1.55,1.07,1,1.0,14
1395,21822,1.52,1.02,1,1.0,13
1396,22290,1.5,0.99,1,1.0,16
1397,21983,1.48,0.97,1,1.0,11
1398,21650,1.5,0.97,1,1.0,11
1399,19322,1.5,0.97,1,1.0,12
1400,18570,1.47,0.92,1,1.0,11
1401,17313,1.44,0.89,1,1.0,8
1402,17568,1.45,0.89,1,1.0,9
