Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,23654,630.15,129.85,21,613.0,999
1370,23388,631.95,130.84,21,613.0,999
1371,23485,634.75,131.91,22,613.0,999
1372,15080,634.99,140.2,22,613.0,986
1373,21052,634.57,154.01,14,613.0,999
1374,44066,634.55,143.39,0,613.0,999
1375,27840,634.71,109.46,11,612.0,933
1376,26580,636.44,109.21,11,612.0,933
1377,22012,635.34,116.14,11,611.0,933
1378,34611,6376.98,1119.41,111,6112.0,9333
1379,32478,6383.82,1112.03,112,6121.0,9333
1380,30263,6372.22,1116.32,111,6112.0,9333
1381,35032,6343.13,1157.3,111,6112.0,9333
1382,25550,6341.06,1163.44,111,6112.0,9333
1383,27634,6374.87,1203.55,112,6121.0,9333
1384,29117,6378.16,1182.27,111,6114.0,9333
1385,32590,6404.51,1202.6,111,6121.0,9333
1386,29504,6375.68,1225.56,111,6121.0,9333
1387,31450,6418.21,1232.76,111,6121.0,9333
1388,29616,6422.52,1233.26,0,6121.0,9333
1389,28652,6415.75,1243.21,0,6121.0,9333
1390,25998,6443.32,1256.86,0,6121.0,9333
1391,26787,6389.11,1202.58,0,6121.0,9333
1392,24492,6405.03,1237.35,1410,6121.0,9333
1393,23495,6383.6,1228.81,1410,6121.0,9333
1394,22402,6403.84,1219.65,111,6121.0,9333
1395,21822,6412.7,1244.45,1100,6121.0,9333
1396,22290,6396.01,1249.47,1120,6121.0,9629
1397,21983,6401.1,1313.99,1114,6121.0,9629
1398,21649,6398.16,1295.21,1115,6121.0,9629
1399,19319,6406.49,1270.83,1120,6121.0,9629
1400,18569,6403.95,1303.33,1120,6121.0,9629
1401,17313,6388.02,1325.25,410,6121.0,9629
1402,17568,6399.42,1357.98,1120,6121.0,9629
