Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550.0,48210.03,358808.12,0.0,0.0,32630000.0
1370,23960.0,54324.15,297725.46,0.0,0.0,18529333.0
1371,24136.0,67522.83,410366.0,0.0,0.0,30300000.0
1372,15377.0,81907.21,384690.12,0.0,0.0,22000000.0
1373,21557.0,136758.69,874756.06,0.0,0.0,55000000.0
1374,44077.0,168132.69,894162.25,0.0,0.0,77000000.0
1375,27840.0,254673.83,1944456.62,0.0,0.0,180000000.0
1376,26580.0,326708.97,2745136.75,0.0,0.0,285420000.0
1377,22012.0,351728.97,2035661.62,0.0,0.0,182000000.0
1378,34611.0,440982.22,3072749.25,0.0,0.0,360000000.0
1379,32478.0,514920.16,2855631.36,0.0,0.0,300000000.0
1380,30263.0,669021.03,4557596.82,0.0,0.0,512750000.0
1381,35032.0,878019.62,4492441.5,0.0,0.0,380000000.0
1382,25550.0,1172166.62,9396297.59,0.0,0.0,900000000.0
1383,27634.0,1339880.26,7765663.51,0.0,0.0,524000000.0
1384,19283.0,2518913.73,15708440.11,0.0,400000.0,1577000000.0
1385,23274.0,2700594.38,13191340.26,0.0,400000.0,700000000.0
1386,22486.0,3269737.44,14828713.01,0.0,430000.0,1200000000.0
1387,26104.0,3615390.05,17486526.28,0.0,400000.0,1100000000.0
1388,25274.0,3962754.78,18991743.29,0.0,450000.0,1300000000.0
1389,25375.0,4285451.57,18210520.02,0.0,500000.0,1150000000.0
1390,22772.0,5507833.02,33596022.02,0.0,950000.0,3000000000.0
1391,23640.0,6191163.7,18755941.23,0.0,1050000.0,697500000.0
1392,21470.0,8793990.04,25946559.8,0.0,2000000.0,960000000.0
1393,20251.0,11579067.95,46335463.31,0.0,2700000.0,3720000000.0
1394,19803.0,12241480.59,36786727.98,0.0,3000000.0,1326000000.0
1395,19570.0,13772344.23,53496837.73,0.0,3400000.0,3500000000.0
1396,20284.0,15159111.11,50066112.23,0.0,3000000.0,1900000000.0
1397,20854.0,19989875.81,107747174.37,0.0,4000000.0,9800000000.0
1398,20640.0,23453887.5,94211514.96,0.0,4703500.0,5500000000.0
1399,18251.0,32511403.18,173795491.61,0.0,5000000.0,15000000000.0
1400,17450.0,45365825.5,131934333.44,0.0,10000000.0,5000000000.0
1401,17313.0,69500665.28,272697054.08,0.0,12500000.0,18110000000.0
