Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550.0,37362.25,263487.0,0.0,0.0,15000000.0
1370,23960.0,48185.29,414655.84,0.0,0.0,30000000.0
1371,24136.0,59151.56,793463.75,0.0,0.0,68000000.0
1372,15377.0,68569.91,489941.28,0.0,0.0,24000000.0
1373,21557.0,109246.73,1351297.12,0.0,0.0,90650000.0
1374,44077.0,141805.25,1025102.5,0.0,0.0,76000000.0
1375,27840.0,183746.73,2137185.5,0.0,0.0,150000000.0
1376,26580.0,234203.22,5742126.83,0.0,0.0,900000000.0
1377,22012.0,196971.76,1663467.77,0.0,0.0,124500000.0
1378,34611.0,252719.19,2726591.25,0.0,0.0,250000000.0
1379,32478.0,282530.67,3041465.99,0.0,0.0,350000000.0
1380,30263.0,303624.94,2920204.03,0.0,0.0,300000000.0
1381,35032.0,450491.19,4003014.0,0.0,0.0,420000000.0
1382,25550.0,479442.33,3759856.77,0.0,0.0,400000000.0
1383,27634.0,638267.06,8017599.5,0.0,0.0,800000000.0
1384,15697.0,1029317.88,5591500.0,0.0,0.0,162500000.0
1385,19717.0,1350234.62,19277332.0,0.0,0.0,2400000000.0
1386,19198.0,1290685.28,9789937.16,0.0,0.0,900000000.0
1387,23081.0,1410205.5,10246542.0,0.0,0.0,700000000.0
1388,22765.0,1350398.12,8797455.0,0.0,0.0,600000000.0
1389,23056.0,1436148.0,8140814.5,0.0,0.0,340000000.0
1390,20585.0,1990606.62,32628682.0,0.0,0.0,4000000000.0
1391,21614.0,2509941.5,19456034.0,0.0,0.0,1440000000.0
1392,19271.0,4104375.75,46855536.0,0.0,0.0,5000000000.0
1393,18190.0,3885077.5,25138100.0,0.0,0.0,2000000000.0
1394,17853.0,4469200.5,24143044.0,0.0,0.0,1500000000.0
1395,17605.0,4572079.41,20588474.75,0.0,0.0,1000000000.0
1396,18390.0,4815076.78,27135933.75,0.0,0.0,2000000000.0
1397,19847.0,6335497.3,48289270.32,0.0,0.0,4500000000.0
1398,19956.0,8955089.0,63918664.0,0.0,0.0,5000000000.0
1399,17473.0,13086520.63,106770404.45,0.0,0.0,7200000000.0
1400,16698.0,21937330.22,208452748.52,0.0,0.0,18000000000.0
1401,17313.0,29326548.84,225413957.83,0.0,0.0,18000000000.0
