Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550.0,1031887.02,4053131.05,0.0,170000.0,99999999.0
1370,23960.0,1316944.56,6190193.9,0.0,194650.0,427870000.0
1371,24136.0,1692808.16,7905706.3,0.0,230000.0,342400000.0
1372,15377.0,2052435.46,11129395.56,0.0,310000.0,720000000.0
1373,21557.0,3168569.88,11024144.62,0.0,415000.0,588000000.0
1374,44077.0,4525364.14,31296059.92,0.0,550000.0,4031010000.0
1375,27840.0,5457569.94,30281870.29,0.0,660000.0,2121000000.0
1376,26580.0,6475536.89,35103868.73,0.0,800000.0,2014000000.0
1377,22012.0,7146828.6,47204740.99,0.0,1000000.0,4862220000.0
1378,34611.0,9063666.25,51083921.86,0.0,1125000.0,4060400000.0
1379,32478.0,11613929.91,69116270.55,0.0,1500000.0,6664000000.0
1380,30263.0,13244476.46,68202432.05,0.0,1850000.0,3464410000.0
1381,35032.0,17576699.35,88480276.7,0.0,3000000.0,8246775000.0
1382,25550.0,22833592.8,103925814.45,0.0,4450000.0,7876264500.0
1383,27634.0,23062663.1,77240755.52,0.0,4300000.0,2133640000.0
1384,24367.0,33853217.66,146333311.28,0.0,9000000.0,9000000000.0
1385,27860.0,41504361.91,186108484.0,0.0,11070000.0,8400000000.0
1386,26521.0,50536684.42,231894343.95,0.0,12500000.0,15000000000.0
1387,29468.0,55544577.55,199379605.81,0.0,16200000.0,8610000000.0
1388,27868.0,57844723.59,240855996.84,0.0,17000000.0,12000000000.0
1389,27534.0,64737226.64,240999731.19,0.0,20000000.0,10200000000.0
1390,24901.0,77876781.49,253334563.62,0.0,30000000.0,10166250000.0
1391,25641.0,101162505.13,353281689.9,0.0,35000000.0,15000000000.0
1392,23470.0,132766431.84,377226905.48,0.0,53885000.0,15000000000.0
1393,22232.0,159688521.58,424820761.44,0.0,70000000.0,19496000000.0
1394,21368.0,184616228.65,649355257.46,0.0,84000000.0,52410000000.0
1395,20990.0,215932385.37,957870795.31,0.0,92000000.0,95800000000.0
1396,21828.0,230586203.51,721205133.28,0.0,100000000.0,43890000000.0
1397,21727.0,363786347.27,6642196544.18,0.0,130000000.0,946650000000.0
1398,21376.0,405556102.29,1626645131.7,0.0,170000000.0,122270000000.0
1399,19056.0,548535952.29,1781437790.48,0.0,228000000.0,84900000000.0
1400,18284.0,887106816.78,3049181114.45,0.0,374000000.0,152624000000.0
1401,17313.0,1368948961.27,4622311956.5,0.0,600000000.0,270280000000.0
1402,17568.0,2109666985.04,8595490816.76,0.0,850000000.0,655500000000.0
