Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550.0,54261.88,371243.75,0.0,0.0,30000000.0
1370,23960.0,66376.98,620690.56,0.0,0.0,34800000.0
1371,24136.0,80974.83,931281.25,0.0,0.0,60000000.0
1372,15377.0,101778.23,803011.38,0.0,0.0,50400000.0
1373,21557.0,145203.72,982055.88,0.0,0.0,48000000.0
1374,44077.0,174544.39,1332708.12,0.0,0.0,80000000.0
1375,27840.0,235306.78,2143780.25,0.0,0.0,120000000.0
1376,26580.0,306928.66,3709310.0,0.0,0.0,454200000.0
1377,22012.0,331143.41,3350478.75,0.0,0.0,255000000.0
1378,34611.0,502576.54,11518137.6,0.0,0.0,1383750000.0
1379,32478.0,526960.09,7324708.89,0.0,0.0,1080000000.0
1380,30263.0,603806.02,5716809.3,0.0,0.0,414000000.0
1381,35032.0,799500.58,8705126.8,0.0,0.0,1000000000.0
1382,25550.0,990412.98,7243659.73,0.0,0.0,432000000.0
1383,27634.0,1319111.52,12753884.22,0.0,0.0,1202256000.0
1384,15626.0,3034285.48,25486963.07,0.0,0.0,1697250000.0
1385,20192.0,3284096.76,30677171.37,0.0,0.0,2000000000.0
1386,19620.0,3960123.79,34999257.41,0.0,0.0,3000000000.0
1387,22492.0,3953521.8,27241687.72,0.0,0.0,1750000000.0
1388,22282.0,4135634.04,33661586.0,0.0,0.0,2375000000.0
1389,22610.0,4663926.5,37854953.08,0.0,0.0,3600000000.0
1390,20065.0,6279717.5,69226446.32,0.0,0.0,5760000000.0
1391,20949.0,6297376.87,48045029.33,0.0,0.0,3360000000.0
1392,18883.0,7694376.95,54999353.25,0.0,0.0,4160000000.0
1393,17456.0,9764696.06,101750287.99,0.0,0.0,10800000000.0
1394,17179.0,9536817.98,56602783.62,0.0,0.0,2640000000.0
1395,16569.0,11526567.51,84192489.23,0.0,0.0,5500000000.0
1396,17356.0,12965815.1,78623716.71,0.0,0.0,3975000000.0
1397,19055.0,26340652.08,1079808826.58,0.0,0.0,146000000000.0
1398,19268.0,21889990.97,196696208.89,0.0,0.0,13440000000.0
1399,16988.0,27215466.21,215025749.84,0.0,0.0,7800000000.0
1400,16224.0,41994004.04,329760181.84,0.0,0.0,20770000000.0
1401,17313.0,55154271.36,464185382.61,0.0,0.0,36480000000.0
