Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,29117,1.35,0.48,1,1.0,2
1385,32204,5.74,1.8,0,7.0,7
1386,28465,5.83,1.57,0,6.0,8
1387,30412,5.8,1.58,0,6.0,7
1388,28778,5.61,1.65,0,6.0,7
1389,27881,5.57,1.68,0,6.0,7
1390,25418,5.6,1.64,0,6.0,7
1391,26217,5.6,1.66,0,6.0,7
1392,24143,5.64,1.61,0,6.0,7
1393,23125,5.68,1.61,0,6.0,7
1394,21991,5.72,1.58,0,6.0,7
1395,21475,5.66,1.59,0,6.0,7
1396,21924,5.55,1.69,0,6.0,7
1397,21532,5.58,1.66,0,6.0,7
1398,21233,5.59,1.68,0,6.0,7
1399,19035,5.5,1.7,0,6.0,7
1400,18335,5.52,1.65,0,6.0,7
1401,16943,5.55,1.59,1,6.0,7
