Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,28840,5.7,1.77,0,6.0,7
1385,32202,5.65,3.05,0,5.0,18
1386,28445,5.9,2.97,0,5.0,18
1387,30404,6.04,2.97,0,6.0,32
1388,28777,5.9,2.92,0,5.0,18
1389,27878,6.03,2.89,0,6.0,18
1390,25416,6.23,2.87,0,6.0,18
1391,26216,6.19,2.87,0,6.0,18
1392,24142,6.29,2.76,0,6.0,18
1393,23125,6.24,2.77,0,6.0,18
1394,21992,6.37,2.83,0,6.0,18
1395,21471,6.36,2.79,0,6.0,18
1396,21924,6.23,2.88,0,6.0,18
1397,21527,6.43,2.85,0,6.0,18
1398,21232,6.35,2.83,0,6.0,18
1399,19028,6.38,2.79,0,6.0,18
1400,18338,6.62,2.75,0,7.0,18
1401,16951,6.67,2.71,1,7.0,18
