Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1390,41241,1664467040.17,503586279.8,1000001172,2000164005.0,2300127066
1391,40475,1666243697.49,503774559.81,1000001177,2000161116.0,2300127069
1392,40688,16599696114.11,5036173868.28,10001000101,20007018712.5,23004664416
1393,40788,16610272872.07,5035386140.05,10001000108,20009019512.5,23004664416
1394,40439,16614786771.22,5033540623.0,10001000116,20010019714.0,23004664429
1395,39766,16666871961.4,5032888559.56,10001000120,20012022933.0,23004664434
1396,39825,16721385252.4,5032314506.7,10001000126,20104035329.0,23004664440
1397,40407,16418713368.97,5046728801.1,10001000102,13001373311.0,23006709817
1398,39443,16455824100.73,5042776533.85,10001000108,13001379217.0,23006709818
1399,57608,16529389844.88,5039990386.7,10001000113,20003386826.0,23006709829
1400,64107,16478596815.07,5036361875.49,10001000119,13006383835.0,23006709827
1401,61527,16492585196.96,5041508972.21,10001000126,13006383827.0,23006709841
1402,36623,16417680522.45,5041783879.6,10001000132,13001377640.0,23006709847
