Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1390,41241.0,14473014.67,8697865.52,356000.0,13410000.0,86880000.0
1391,40475.0,20242313.39,9419760.26,450000.0,21840000.0,92820000.0
1392,40688.0,21118516.81,9817845.46,69000.0,19080000.0,82030000.0
1393,40786.0,18248096.0,8626459.0,455000.0,16380000.0,76440000.0
1394,40439.0,18073732.0,8448279.0,455000.0,16380000.0,81900000.0
1395,39766.0,17802764.0,8397021.0,455000.0,16380000.0,65520000.0
1396,39825.0,17964660.0,8511348.0,380000.0,16380000.0,81000000.0
1397,40407.0,17471632.0,8174251.0,455000.0,16380000.0,92820000.0
1398,39443.0,17417118.0,8127194.5,455000.0,16380000.0,109200000.0
1399,57606.0,10797589.0,8123426.0,2.0,5460000.0,109200000.0
1400,64107.0,8477791.0,8267383.0,445000.0,5460000.0,87360000.0
1401,61527.0,5228175.5,6265927.0,104000.0,1820000.0,65520000.0
