Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,7297.0,489.24,390.19,1.0,600.0,12000.0
1384,7746.0,489.72,334.67,1.0,600.0,7200.0
1385,8188.0,500.36,393.2,1.0,600.0,16801.0
1386,7881.0,499.15,311.53,1.0,600.0,3100.0
1387,9018.0,501.17,326.06,1.0,600.0,6200.0
1388,8209.0,513.9,333.13,3.0,600.0,3500.0
1389,8033.0,525.28,360.75,1.0,600.0,12000.0
1390,7631.0,531.13,335.34,4.0,600.0,6000.0
1391,7341.0,529.11,346.96,4.0,600.0,6000.0
1392,6796.0,508.6,316.95,7.0,600.0,3600.0
1393,6801.0,519.15,310.01,1.0,600.0,3200.0
1394,6495.0,519.34,319.63,2.0,600.0,3600.0
1395,6347.0,512.4,329.93,3.0,600.0,7000.0
1396,6516.0,512.96,321.28,5.0,600.0,6000.0
1397,6540.0,488.31,322.47,1.0,600.0,4000.0
1398,6381.0,482.83,315.78,1.0,600.0,4340.0
1399,5562.0,450.95,290.17,1.0,500.0,3000.0
1400,5505.0,453.75,284.18,1.0,560.0,3500.0
1401,5462.0,486.43,334.37,2.0,600.0,6000.0
1402,5458.0,497.2,315.35,4.0,600.0,3600.0
