Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,8733,21680.16,3040.69,231,22113.0,22115
1384,9195,22155.33,220.24,21111,22113.0,23111
1385,9852,22164.65,227.01,21111,22113.0,23111
1386,9377,22170.86,235.6,21111,22113.0,23111
1387,10716,22169.03,233.25,21111,22113.0,23111
1388,9582,22165.58,225.1,21111,22113.0,23111
1389,9414,22165.23,226.37,21111,22113.0,23111
1390,8952,22168.81,233.52,21111,22111.0,23111
1391,8804,22180.73,255.85,21111,22111.0,23111
1392,7928,22175.99,248.25,21111,22111.0,23111
1393,7842,22184.33,259.21,21111,22113.0,23111
1394,7729,22197.24,279.23,21111,22113.0,23111
1395,7634,22202.11,289.03,21111,22113.0,23111
1396,8080,22216.5,310.14,21111,22113.0,23111
1397,8220,22210.98,308.03,21111,22113.0,23111
1398,7921,22211.38,303.64,21111,22113.0,23111
1399,6814,22197.65,286.66,21111,22113.0,23111
1400,6828,22205.2,293.83,21111,22113.0,23111
1401,6762,22210.92,302.21,21111,22113.0,23111
1402,6862,22230.81,327.86,21111,22111.0,23111
