Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,8733.0,74788.11,94821.01,600.0,60000.0,4200000.0
1384,9188.0,85764.6,97571.61,400.0,62000.0,2000000.0
1385,9852.0,98100.26,141283.84,0.0,75000.0,9900000.0
1386,9377.0,116655.79,131570.11,600.0,90000.0,4000000.0
1387,10716.0,138663.97,157119.78,500.0,100000.0,3000000.0
1388,9582.0,158338.33,182298.88,600.0,120000.0,4500000.0
1389,9414.0,178470.16,233393.41,1000.0,135000.0,6200000.0
1390,8952.0,214039.39,270293.97,1200.0,150000.0,6000000.0
1391,8804.0,339533.62,419557.59,1920.0,240000.0,12000000.0
1392,7927.0,487096.41,520897.56,5000.0,390000.0,15000000.0
1393,7842.0,504726.81,477301.47,7500.0,450000.0,7500000.0
1394,7729.0,518405.47,507509.91,5000.0,450000.0,9300000.0
1395,7634.0,570229.06,587379.12,3000.0,450000.0,12000000.0
1396,8080.0,625937.0,697291.25,7000.0,450000.0,20200000.0
1397,8220.0,1006999.56,991471.44,9000.0,750000.0,21000000.0
1398,7921.0,1250485.25,1073560.25,2000.0,1085000.0,17000000.0
1399,6814.0,1550118.5,1498729.5,6000.0,1240000.0,31000000.0
1400,6828.0,2140379.0,2036064.5,12000.0,1800000.0,30000000.0
1401,6762.0,3147097.0,3640055.75,16000.0,2400000.0,120000000.0
