Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,8733,56700412.78,50741687.73,11001,24031039.0,127114127
1384,9195,58327969.48,50885373.2,11001,25012091.0,129214069
1385,9852,54245941.16,50578868.66,11001,23082059.0,129214099
1386,9377,56318660.4,50100198.89,11003,25012051.0,129214111
1387,10716,1691283723.24,503148790.23,1000001001,2020767003.5,2297861001
1388,9582,1662989493.9,504745686.58,1000001001,2010181503.0,2290243002
1389,9414,1679458682.61,501427821.22,1000001177,2020022562.0,2290109112
1390,8952,1684102180.54,501885968.43,1000002130,2020003662.0,2300125120
1391,8804,1703337026.96,499578945.19,1000002131,2030016127.5,2300127069
1392,7928,16862481994.7,4991908058.77,10001000201,20116044558.5,23004664001
1393,7842,16916679839.37,4992604409.69,10001000208,20114043411.0,23004663623
1394,7729,17002856741.74,5009944388.43,10001000117,20207058829.0,23004664213
1395,7634,17050687263.83,5001572161.97,10001000123,20219062424.0,23004664434
1396,8080,17016702956.52,4999404454.71,10001001041,20210059482.5,23004664240
1397,8220,16770556835.42,5039642107.73,10001000108,20109402612.5,23006709802
1398,7921,16668133434.58,5028065659.93,10001000108,20012395623.0,23006709523
1399,6814,16756860275.25,5025596778.36,10001000229,20103398976.0,23006709823
1400,6828,16698151987.79,5028420903.47,10001000530,20012396077.5,23006709820
1401,6762,16804403478.14,5022490695.89,10001000435,20103899232.0,23006709629
1402,6862,16936141607.47,5020418329.48,10001000141,20214411288.5,23006709847
