Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,7298.0,266.25,2721.69,25.0,150.0,140000.0
1384,7750.0,352.3,2956.58,20.0,165.0,100000.0
1385,8188.0,299.88,2621.52,0.0,200.0,100000.0
1386,7881.0,262.32,775.41,10.0,225.0,50000.0
1387,9018.0,293.51,228.93,25.0,250.0,5000.0
1388,8209.0,329.6,233.34,30.0,250.0,4250.0
1389,8033.0,343.42,235.4,50.0,250.0,5000.0
1390,7631.0,405.96,339.55,40.0,300.0,9500.0
1391,7342.0,644.49,517.6,50.0,500.0,12000.0
1392,6796.0,964.02,667.08,100.0,750.0,15000.0
1393,6801.0,970.6,1245.05,50.0,800.0,80000.0
1394,6495.0,1008.1,758.75,150.0,870.0,20000.0
1395,6347.0,1107.37,859.1,200.0,1000.0,30000.0
1396,6516.0,1165.94,854.13,200.0,1000.0,35000.0
1397,6540.0,2442.36,15753.65,100.0,2000.0,900000.0
1398,6381.0,2834.38,6385.6,200.0,2500.0,500000.0
1399,5562.0,3767.9,3298.37,200.0,3000.0,120000.0
1400,5505.0,5156.22,5316.37,250.0,4000.0,100000.0
1401,6762.0,5710.75,8791.54,0.0,5000.0,170000.0
1402,6862.0,6856.43,5512.61,0.0,7000.0,100000.0
