Year,Purchase,Non_Agricultural_Work,Instead_of_Private_Service,Donation,,Agricultural_Work,Home_Production,Instead_of_Public_Service,Instead_of_Cooperative_Service
1383,96.51,1.26,0.03,,1.97,0.14,0.07,0.02,
1384,98.85,1.0,0.03,,,0.05,0.04,0.01,0.01
1385,98.69,1.27,0.01,,,0.01,,0.02,
1386,98.69,1.22,0.04,,,0.04,,0.01,
1387,98.96,0.94,0.03,,,0.02,0.02,0.03,
1388,98.82,1.07,0.03,0.02,,0.02,0.01,,0.02
1389,99.04,0.8,0.03,0.01,,0.06,0.05,,
1390,99.17,0.74,0.02,,,0.04,0.02,,
1391,99.22,0.73,,0.01,,0.01,0.02,,0.01
1392,99.53,0.45,,,,0.01,,,
1393,99.23,0.69,0.03,,,0.01,0.04,,
1394,99.24,0.66,0.06,,,0.03,,0.01,
1395,99.19,0.75,0.01,,,0.04,,0.01,
1396,99.33,0.64,0.01,0.01,,,,,
1397,99.31,0.66,0.01,0.01,,,0.01,,
1398,99.33,0.59,0.01,0.03,,0.03,,0.01,
1399,99.25,0.65,0.04,0.04,,,0.01,,
1400,99.34,0.51,0.04,0.09,,,,0.01,
1401,99.48,0.49,0.01,,,0.01,,,
1402,99.48,0.48,0.03,0.01,,,,,
